,hex_id,value,geometry
0,883441348dfffff,0,"{'type': 'Polygon', 'coordinates': [((-16.68131873842649, 28.270981233317105), (-16.686364807711726, 28.268328141160424), (-16.68634966985836, 28.263177275438558), (-16.681289054779235, 28.260679604039257), (-16.676243375737563, 28.26333248088557), (-16.676257921542337, 28.268483244418682), (-16.68131873842649, 28.270981233317105))]}"
1,88344cca2bfffff,0,"{'type': 'Polygon', 'coordinates': [((-16.549936436334566, 28.257485302369897), (-16.554982958156707, 28.254837754674153), (-16.554975516095592, 28.249688546624075), (-16.54992214348562, 28.247186990642906), (-16.54487601412658, 28.249834324394936), (-16.544882864925675, 28.25498342804908), (-16.549936436334566, 28.257485302369897))]}"
2,88344cdad1fffff,0,"{'type': 'Polygon', 'coordinates': [((-16.438871391180626, 28.382626453589108), (-16.44392610087722, 28.379983623490105), (-16.44392515754448, 28.374833068234622), (-16.43887009694809, 28.372325449487153), (-16.433815782805315, 28.374968067348473), (-16.433816133716753, 28.380118516172228), (-16.438871391180626, 28.382626453589108))]}"
3,88344cc969fffff,0,"{'type': 'Polygon', 'coordinates': [((-16.65595179703123, 28.232739504146693), (-16.660995914871016, 28.230087488298096), (-16.660982269044005, 28.224937669853382), (-16.65592509680709, 28.222439969804526), (-16.650881369324416, 28.225091770464626), (-16.650894423732492, 28.23024148633925), (-16.65595179703123, 28.232739504146693))]}"
4,88344cc311fffff,0,"{'type': 'Polygon', 'coordinates': [((-16.408559329216, 28.30578497660662), (-16.41360989039863, 28.303143411958334), (-16.413610722726098, 28.297994736418524), (-16.408561585124055, 28.295487732350804), (-16.40351141934006, 28.298129084784705), (-16.40350999577117, 28.303277653478027), (-16.408559329216, 28.30578497660662))]}"
5,88344cd345fffff,0,"{'type': 'Polygon', 'coordinates': [((-16.398392129380614, 28.506793644452202), (-16.40345434627331, 28.504152588474994), (-16.40345577636502, 28.499000001781635), (-16.39839558347913, 28.496488578313127), (-16.393333763978383, 28.49912942299116), (-16.39333173998338, 28.50428190241417), (-16.398392129380614, 28.506793644452202))]}"
6,88344cd241fffff,0,"{'type': 'Polygon', 'coordinates': [((-16.317421793316786, 28.507803556857667), (-16.32248477144969, 28.505165953261585), (-16.322490951439168, 28.50001422952163), (-16.317434746830205, 28.497500217993796), (-16.312372167531603, 28.500137611180747), (-16.312365394019704, 28.50528922628201), (-16.317421793316786, 28.507803556857667))]}"
7,88344cc90dfffff,0,"{'type': 'Polygon', 'coordinates': [((-16.645811927988543, 28.21744424188546), (-16.650855265091558, 28.214792656389484), (-16.650842215266238, 28.209643258348823), (-16.645786419516025, 28.207145548503664), (-16.64074347281517, 28.209796918859873), (-16.640755931473333, 28.214946214178173), (-16.645811927988543, 28.21744424188546))]}"
8,883441222bfffff,0,"{'type': 'Polygon', 'coordinates': [((-16.868559984767845, 28.30663314772877), (-16.873606267488626, 28.303972158554895), (-16.873580146007516, 28.298818645359063), (-16.8685083351787, 28.296326220370336), (-16.863462439656185, 28.29898699236323), (-16.86348796777455, 28.304140406502846), (-16.868559984767845, 28.30663314772877))]}"
9,88344cd207fffff,0,"{'type': 'Polygon', 'coordinates': [((-16.327576961468964, 28.476770511368265), (-16.33263806329809, 28.47413245562668), (-16.332643645786288, 28.468981233362342), (-16.32758871961019, 28.466468175245666), (-16.322528016154227, 28.469106020342327), (-16.3225218405132, 28.474257134177915), (-16.327576961468964, 28.476770511368265))]}"
10,8834412741fffff,0,"{'type': 'Polygon', 'coordinates': [((-16.777200664329037, 28.230838223237836), (-16.78224350882337, 28.228181104275663), (-16.782222762568527, 28.223030068360476), (-16.777159763769706, 28.220536251896952), (-16.772117307448376, 28.223193154357947), (-16.772137461763457, 28.228344089760746), (-16.777200664329037, 28.230838223237836))]}"
11,88344cda3bfffff,0,"{'type': 'Polygon', 'coordinates': [((-16.494501421901873, 28.405054856491102), (-16.49955692335365, 28.40240967230802), (-16.499552718657903, 28.397258070030915), (-16.494493605510364, 28.39475175743366), (-16.48943849882712, 28.397396728863082), (-16.48944211053435, 28.402548225620674), (-16.494501421901873, 28.405054856491102))]}"
12,88344cc9a5fffff,0,"{'type': 'Polygon', 'coordinates': [((-16.640594082555996, 28.148013673538017), (-16.645633493962073, 28.145362326441646), (-16.645620759851788, 28.140214418846586), (-16.64056920455829, 28.137717961046928), (-16.635530183032056, 28.14036909278444), (-16.63554232693043, 28.145516897657657), (-16.640594082555996, 28.148013673538017))]}"
13,88344cc847fffff,0,"{'type': 'Polygon', 'coordinates': [((-16.570088030584294, 28.22629764354263), (-16.575132579504054, 28.223649247867087), (-16.57512396083814, 28.218500465480833), (-16.57007138420064, 28.216000182762645), (-16.565027227108327, 28.21864836415215), (-16.565035254837262, 28.223797042523103), (-16.570088030584294, 28.22629764354263))]}"
14,88344cc201fffff,0,"{'type': 'Polygon', 'coordinates': [((-16.358051120519075, 28.321891597566974), (-16.363103046850313, 28.319252177752237), (-16.363106836246597, 28.314103724828296), (-16.358059290537433, 28.311594799415914), (-16.353007760640804, 28.314234007631896), (-16.353003380030586, 28.319382352836378), (-16.358051120519075, 28.321891597566974))]}"
15,88344cca3dfffff,0,"{'type': 'Polygon', 'coordinates': [((-16.54487601412658, 28.249834324394936), (-16.54992214348562, 28.247186990642906), (-16.54991499831581, 28.24203799296124), (-16.54486231493382, 28.239536433480605), (-16.53981657805945, 28.242183553313325), (-16.539823132093673, 28.247332446523224), (-16.54487601412658, 28.249834324394936))]}"
16,88344cc927fffff,0,"{'type': 'Polygon', 'coordinates': [((-16.67099816296056, 28.193885522039547), (-16.676039913173582, 28.191232882278985), (-16.676025392885833, 28.186083706352132), (-16.67096971336169, 28.183587272428774), (-16.665928352893353, 28.186239696684446), (-16.66594228221536, 28.191388770345515), (-16.67099816296056, 28.193885522039547))]}"
17,88344cd357fffff,0,"{'type': 'Polygon', 'coordinates': [((-16.37310057683219, 28.483929815894957), (-16.378161697248114, 28.481289824802356), (-16.37816461047089, 28.476137963923264), (-16.37310699676123, 28.473626201783294), (-16.36804627397839, 28.476265981761532), (-16.368042767284, 28.481417734971412), (-16.37310057683219, 28.483929815894957))]}"
