,0,1,2,3,4
39099931,Fiestas navideñas en Chayofa,https://www.airbnb.es/rooms/39099931?adults=2&children=0&infants=0&check_in=2022-05-24&check_out=2022-05-31&federated_search_id=7aa1ac3a-aa12-49cd-a076-9a4a5e22b23f&source_impression_id=p3_1646344795_ZocLrtFaOLSGSEIf,"4 huéspedes · 1 dormitorio · 2 camas · 1,5 baños","['28.07479,-16.69605']",39€ 
51973129,tranquilo Apartamento en Chayofa,https://www.airbnb.es/rooms/51973129?adults=2&children=0&infants=0&check_in=2022-05-30&check_out=2022-06-06&federated_search_id=7aa1ac3a-aa12-49cd-a076-9a4a5e22b23f&source_impression_id=p3_1646344807_OZw69VeYwIIJ9mUz,"2 huéspedes · 1 dormitorio · 1 cama · 1,5 baños","['28.07323,-16.69839']",54€ 
45325261,Apartamento Costa Adeje con vistas al mar,https://www.airbnb.es/rooms/45325261?adults=2&children=0&infants=0&check_in=2022-05-25&check_out=2022-06-01&federated_search_id=7aa1ac3a-aa12-49cd-a076-9a4a5e22b23f&source_impression_id=p3_1646344819_4sS5SISTlTQm%2F%2BIU,2 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.0832,-16.7247']",39€
51238162,Estudio con vista al mar y vistas impresionantes,https://www.airbnb.es/rooms/51238162?adults=2&children=0&infants=0&check_in=2022-05-05&check_out=2022-05-12&federated_search_id=7aa1ac3a-aa12-49cd-a076-9a4a5e22b23f&source_impression_id=p3_1646344830_Q8rhNebrykgTLZZP,3 huéspedes · Estudio · 2 camas · 1 baño,"['28.07933,-16.72166']",39€
45402101,BUNGALOW PUEBLO ESTEFANIA TRANQUILIDAD ABSOLUTA,https://www.airbnb.es/rooms/45402101?adults=2&children=0&infants=0&check_in=2022-05-12&check_out=2022-05-19&federated_search_id=7aa1ac3a-aa12-49cd-a076-9a4a5e22b23f&source_impression_id=p3_1646344842_HP2Cb%2F7LhTEmy6ub,3 huéspedes · 1 dormitorio · 2 camas · 2 baños,"['28.07262,-16.69646']",50€
56340783,Relájate al atardecer 2,https://www.airbnb.es/rooms/563407836873006316?adults=2&children=0&infants=0&check_in=2022-05-29&check_out=2022-06-05&federated_search_id=7aa1ac3a-aa12-49cd-a076-9a4a5e22b23f&source_impression_id=p3_1646344854_%2BaUs8IonQcTW7H2c,4 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.08127,-16.72293']",65€
16356108,ELEGANTE APART. SUR con acceso a piscina,https://www.airbnb.es/rooms/16356108?adults=2&children=0&infants=0&check_in=2022-05-11&check_out=2022-05-18&federated_search_id=7aa1ac3a-aa12-49cd-a076-9a4a5e22b23f&source_impression_id=p3_1646344865_c3DklhPCgAE7DyPT,2 huéspedes · 1 dormitorio · 1 cama · 1 baño,[],46€
42777036,Canary Dreams,https://www.airbnb.es/rooms/42777036?adults=2&children=0&infants=0&check_in=2022-05-11&check_out=2022-05-18&federated_search_id=7aa1ac3a-aa12-49cd-a076-9a4a5e22b23f&source_impression_id=p3_1646344877_AhDzSDzh4MHzNGGW,4 huéspedes · Estudio · 2 camas · 1 baño,"['28.07312,-16.69092']",34€
46981538,Apartamento de lujo de 1 dormitorio con balcón con vistas al mar y piscina climatizada.,https://www.airbnb.es/rooms/46981538?adults=2&children=0&infants=0&check_in=2022-05-20&check_out=2022-05-27&federated_search_id=7aa1ac3a-aa12-49cd-a076-9a4a5e22b23f&source_impression_id=p3_1646344889_%2BnE%2B0VDKCAnhMpdE,4 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.08051,-16.72431']",86€ 
1287135?,Las Américas - Magic views,https://www.airbnb.es/rooms/1287135?adults=2&children=0&infants=0&check_in=2022-05-07&check_out=2022-05-14&federated_search_id=7aa1ac3a-aa12-49cd-a076-9a4a5e22b23f&source_impression_id=p3_1646344901_1XGgTWzTkcNvADql,2 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.08228,-16.72378']",43€
