,0,1,2,3,4
20321749,Apartamento playa medano,https://www.airbnb.es/rooms/20321749?adults=2&children=0&infants=0&check_in=2022-05-20&check_out=2022-05-27&federated_search_id=401884fb-6e73-4b97-8f0e-49b7c3072e06&source_impression_id=p3_1646517671_GcCXIq86KNeiezlL,2 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.04661,-16.53555']",36€ 
1819924?,Lovely beach house,https://www.airbnb.es/rooms/1819924?adults=2&children=0&infants=0&check_in=2022-05-23&check_out=2022-05-30&federated_search_id=401884fb-6e73-4b97-8f0e-49b7c3072e06&source_impression_id=p3_1646517682_%2BT2fW8tCMXZ2eCul,2 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.05173,-16.53029']",60€ 
11907778,"Moderno, agradable mini apartamento",https://www.airbnb.es/rooms/11907778?adults=2&children=0&infants=0&check_in=2022-05-20&check_out=2022-05-27&federated_search_id=401884fb-6e73-4b97-8f0e-49b7c3072e06&source_impression_id=p3_1646517694_HsHuW%2FtJkFtMRHNo,2 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.0546,-16.5237']",36€
16854794,Apartment Médano TENERIFE / Ideal for remote Work,https://www.airbnb.es/rooms/16854794?adults=2&children=0&infants=0&check_in=2022-05-11&check_out=2022-05-18&federated_search_id=401884fb-6e73-4b97-8f0e-49b7c3072e06&source_impression_id=p3_1646517706_y43Ar7H%2FIot6D7Av,4 huéspedes · 2 dormitorios · 3 camas · 1 baño,[],39€
45712117,Apartamento muy céntrico y funcional.,https://www.airbnb.es/rooms/45712117?adults=2&children=0&infants=0&check_in=2022-05-29&check_out=2022-06-05&federated_search_id=401884fb-6e73-4b97-8f0e-49b7c3072e06&source_impression_id=p3_1646517719_V%2BBhaiIel1I%2F8KtM,"3 huéspedes · 1 dormitorio · 3 camas · 1,5 baños","['28.04634,-16.53925']",30€ 
31117834,Bonito y luminoso apartamento en playas del Médano,https://www.airbnb.es/rooms/31117834?adults=2&children=0&infants=0&check_in=2022-05-09&check_out=2022-05-16&federated_search_id=161b4115-7ab3-4530-97ee-44d856878607&source_impression_id=p3_1646517929_R5%2Bntr0L7h3SGpxk,4 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.04667,-16.53427']",43€
45663948,Apartamento céntrico,https://www.airbnb.es/rooms/45663948?adults=2&children=0&infants=0&check_in=2022-05-08&check_out=2022-05-13&federated_search_id=401884fb-6e73-4b97-8f0e-49b7c3072e06&source_impression_id=p3_1646517743_W%2BUvQG8TfNfVPHyQ,2 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.04653,-16.53658']",40€
2197895?,"Medano, beach Cabezo, sea views!",https://www.airbnb.es/rooms/2197895?adults=2&children=0&infants=0&check_in=2022-05-09&check_out=2022-05-16&federated_search_id=401884fb-6e73-4b97-8f0e-49b7c3072e06&source_impression_id=p3_1646517754_EdV7SzsK2RwsLVk1,3 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.04682,-16.53351']",50€
2019321?,"El Médano, frente playa La Jaquita 1 h",https://www.airbnb.es/rooms/2019321?adults=2&children=0&infants=0&check_in=2022-05-23&check_out=2022-05-28&federated_search_id=401884fb-6e73-4b97-8f0e-49b7c3072e06&source_impression_id=p3_1646517766_Px8jEDUAQdYNbmVf,4 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.0498,-16.5332']",54€
1877660?,AMPLIO APARTAMENTO VACACIONAL,https://www.airbnb.es/rooms/1877660?adults=2&children=0&infants=0&check_in=2022-05-28&check_out=2022-06-04&federated_search_id=401884fb-6e73-4b97-8f0e-49b7c3072e06&source_impression_id=p3_1646517778_KWkCQopI3sXomQGX,4 huéspedes · 2 dormitorios · 3 camas · 1 baño,"['28.04842,-16.53814']",44€ 
29475854,Apartamento en la Playa de El Médano,https://www.airbnb.es/rooms/29475854?adults=2&children=0&infants=0&check_in=2022-05-16&check_out=2022-05-23&federated_search_id=401884fb-6e73-4b97-8f0e-49b7c3072e06&source_impression_id=p3_1646517791_hoaBnA0xD6%2FGnLg1,5 huéspedes · 2 dormitorios · 4 camas · 1 baño,"['28.04804,-16.53999']",37€
10385939,Apartament with Terrase- Wohnung mit Terrasse,https://www.airbnb.es/rooms/10385939?adults=2&children=0&infants=0&check_in=2022-05-23&check_out=2022-05-30&federated_search_id=401884fb-6e73-4b97-8f0e-49b7c3072e06&source_impression_id=p3_1646517803_OTY4nLYWhQ78ZAOt,"2 huéspedes · 1 dormitorio · 2 camas · 1,5 baños","['28.05403,-16.52715']",38€ 
10219522,Live Medano Mirazul,https://www.airbnb.es/rooms/10219522?adults=2&children=0&infants=0&check_in=2022-05-29&check_out=2022-06-05&federated_search_id=401884fb-6e73-4b97-8f0e-49b7c3072e06&source_impression_id=p3_1646517815_LCL4jKVxac4rZMLR,4 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.04662,-16.53539']",57€ 
20025240,"Casa Sansofe, excelente ubicación.",https://www.airbnb.es/rooms/20025240?adults=2&children=0&infants=0&check_in=2022-05-05&check_out=2022-05-12&federated_search_id=401884fb-6e73-4b97-8f0e-49b7c3072e06&source_impression_id=p3_1646517827_VMfropJGioEFmpjc,"4 huéspedes · 2 dormitorios · 3 camas · 1,5 baños","['28.04664,-16.54034']",30€
23019796,Piso en el Médano cerca de la playa.Con WiFi,https://www.airbnb.es/rooms/23019796?adults=2&children=0&infants=0&check_in=2022-05-08&check_out=2022-05-15&federated_search_id=161b4115-7ab3-4530-97ee-44d856878607&source_impression_id=p3_1646517965_UIwUEyd0wDRvjnrC,2 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.04796,-16.54047']",50€
28678757,Nice apartament El Médano,https://www.airbnb.es/rooms/28678757?adults=2&children=0&infants=0&check_in=2022-05-12&check_out=2022-05-19&federated_search_id=161b4115-7ab3-4530-97ee-44d856878607&source_impression_id=p3_1646517918_c333uMWzClQalK6h,4 huéspedes · 2 dormitorios · 3 camas · 1 baño,"['28.04902,-16.53576']",59€ 
