,0,1,2,3,4
36459579,Hermosa vista al mar!!!,https://www.airbnb.es/rooms/36459579?adults=2&children=0&infants=0&check_in=2022-05-06&check_out=2022-05-13&federated_search_id=87605213-1bda-4301-9881-6b4cc3e3709c&source_impression_id=p3_1646428334_aLtMVyz06gGBNoVI,2 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.18106,-16.817']",70€
2913646?,ETERNA PRIMAVERA JACUZZI & TERRAZA PRIVADA,https://www.airbnb.es/rooms/2913646?adults=2&children=0&infants=0&check_in=2022-05-04&check_out=2022-05-11&federated_search_id=87605213-1bda-4301-9881-6b4cc3e3709c&source_impression_id=p3_1646428345_W5ZD6Q9NV%2FN3zcW1,2 huéspedes · 1 dormitorio · 1 cama · 1 baño,[],80€
50474369,"Apartmento en zona tranquila, TERRAZA, VISTAS,WIFI",https://www.airbnb.es/rooms/50474369?adults=2&children=0&infants=0&check_in=2022-05-24&check_out=2022-05-31&federated_search_id=87605213-1bda-4301-9881-6b4cc3e3709c&source_impression_id=p3_1646428357_SI5CBULF%2Bh5RcLLt,3 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.16045,-16.76461']",37€ 
52271307,Dúplex del mar-Playa San Juan Tenerife,https://www.airbnb.es/rooms/52271307?adults=2&children=0&infants=0&check_in=2022-05-25&check_out=2022-06-01&federated_search_id=87605213-1bda-4301-9881-6b4cc3e3709c&source_impression_id=p3_1646428369_BMde9%2BugkNoJDndf,"2 huéspedes · 1 dormitorio · 2 camas · 1,5 baños","['28.18123,-16.81826']",80€
42383189,Apartamento Casa María,https://www.airbnb.es/rooms/42383189?adults=2&children=0&infants=0&check_in=2022-05-02&check_out=2022-05-09&federated_search_id=87605213-1bda-4301-9881-6b4cc3e3709c&source_impression_id=p3_1646428381_AyCrswSleRxmNvvV,2 huéspedes · 1 dormitorio · 1 baño,"['28.18454,-16.81762']",39€ 
18939266,Apartamento Playa San Juan. Tranquilidad y WIFI.,https://www.airbnb.es/rooms/18939266?adults=2&children=0&infants=0&check_in=2022-05-01&check_out=2022-05-08&federated_search_id=87605213-1bda-4301-9881-6b4cc3e3709c&source_impression_id=p3_1646428393_VUwO0leE6dbuCYec,3 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.18089,-16.81514']",49€
15868793,Acogedor Piso en Playa San Juan 1B,https://www.airbnb.es/rooms/15868793?adults=2&children=0&infants=0&check_in=2022-05-17&check_out=2022-05-24&federated_search_id=87605213-1bda-4301-9881-6b4cc3e3709c&source_impression_id=p3_1646428405_Hf%2BTiq2IyzsHoMyN,4 huéspedes · 3 dormitorios · 3 camas · 2 baños,"['28.18319,-16.81826']",32€ 
53360754,Fantastico Apartamento en Playa San Juan,https://www.airbnb.es/rooms/53360754?adults=2&children=0&infants=0&check_in=2022-05-20&check_out=2022-05-27&federated_search_id=87605213-1bda-4301-9881-6b4cc3e3709c&source_impression_id=p3_1646428416_wbXcHpMb530432o1,"4 huéspedes · 2 dormitorios · 1 cama · 1,5 baños","['28.18038,-16.81535']",45€
46277851,Nice 2 bd apartment by the sea in Playa San Juan,https://www.airbnb.es/rooms/46277851?adults=2&children=0&infants=0&check_in=2022-05-06&check_out=2022-05-13&federated_search_id=87605213-1bda-4301-9881-6b4cc3e3709c&source_impression_id=p3_1646428428_Q0vF2E8dcgm5q0QB,3 huéspedes · 2 dormitorios · 2 camas · 1 baño,"['28.18129,-16.81406']",56€
47881373,Playa San Juan 2 bd apartment by the sea,https://www.airbnb.es/rooms/47881373?adults=2&children=0&infants=0&check_in=2022-05-01&check_out=2022-05-08&federated_search_id=87605213-1bda-4301-9881-6b4cc3e3709c&source_impression_id=p3_1646428440_xNfWoLiEqnvXEIXr,3 huéspedes · 2 dormitorios · 2 camas · 1 baño,"['28.18073,-16.81564']",62€
20996565,Maravilloso apartamento wifi Playa San Juan.,https://www.airbnb.es/rooms/20996565?adults=2&children=0&infants=0&check_in=2022-05-06&check_out=2022-05-13&federated_search_id=87605213-1bda-4301-9881-6b4cc3e3709c&source_impression_id=p3_1646428451_vdgHo7%2FKwcwJiTnR,3 huéspedes · 1 dormitorio · 4 camas · 1 baño,"['28.18092,-16.81493']",45€
4395230?,Cerca de la playa,https://www.airbnb.es/rooms/4395230?adults=2&children=0&infants=0&check_in=2022-05-26&check_out=2022-06-02&federated_search_id=87605213-1bda-4301-9881-6b4cc3e3709c&source_impression_id=p3_1646428463_F3TyUHe%2F4GN3eX3r,3 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.18299,-16.817']",45€
46722633,"Apartamento ""La Casita"" con jardín compartido, terrazas y Wi-Fi; aparcamiento disponible en la calle",https://www.airbnb.es/rooms/46722633?adults=2&children=0&infants=0&check_in=2022-05-09&check_out=2022-05-16&federated_search_id=87605213-1bda-4301-9881-6b4cc3e3709c&source_impression_id=p3_1646428476_%2B6dCnh9SD00T8NXE,2 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.1393,-16.7588']",95€ 
50568616,"Vistas al mar, Wifi,Playa a 750 metros, Playa San Juan",https://www.airbnb.es/rooms/50568616?adults=2&children=0&infants=0&check_in=2022-05-16&check_out=2022-05-23&federated_search_id=87605213-1bda-4301-9881-6b4cc3e3709c&source_impression_id=p3_1646428488_E9BAU8qUMNGJhMwL,2 huéspedes · 1 dormitorio · 1 baño,[],49€
29302481,Apartamento Bregador,https://www.airbnb.es/rooms/29302481?adults=2&children=0&infants=0&check_in=2022-05-08&check_out=2022-05-15&federated_search_id=87605213-1bda-4301-9881-6b4cc3e3709c&source_impression_id=p3_1646428500_p0WkivZz8s7Vm0X2,3 huéspedes · 1 dormitorio · 2 camas · 1 baño,[],45€
53793117,Acogedor y cercano apartamento en Playa San Juan.,https://www.airbnb.es/rooms/53793117?adults=2&children=0&infants=0&check_in=2022-05-15&check_out=2022-05-22&federated_search_id=87605213-1bda-4301-9881-6b4cc3e3709c&source_impression_id=p3_1646428512_KCaoRHzWeVaDAhNa,3 huéspedes · 2 dormitorios · 2 camas · 1 baño,"['28.18428,-16.81786']",48€
28269958,Loft Playa San Juan,https://www.airbnb.es/rooms/28269958?adults=2&children=0&infants=0&check_in=2022-05-30&check_out=2022-06-06&federated_search_id=87605213-1bda-4301-9881-6b4cc3e3709c&source_impression_id=p3_1646428524_OFGhP%2BjuNJ2dEIw7,2 huéspedes · Estudio · 1 cama · 1 baño,"['28.18138,-16.816']",70€
56380457,Preciosa planta Baja en Playa San Juan,https://www.airbnb.es/rooms/563804576846964745?adults=2&children=0&infants=0&check_in=2022-05-03&check_out=2022-05-10&federated_search_id=87605213-1bda-4301-9881-6b4cc3e3709c&source_impression_id=p3_1646428537_kITaRSsgpE5v8L9J,2 huéspedes · 1 dormitorio · 1 cama · 1 baño,[],58€
54499208,Tu espacio Gricam,https://www.airbnb.es/rooms/544992085239751843?adults=2&children=0&infants=0&check_in=2022-05-07&check_out=2022-05-14&federated_search_id=87605213-1bda-4301-9881-6b4cc3e3709c&source_impression_id=p3_1646428549_Jwj%2Fv62F5WT36b5J,4 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.18116,-16.81862']",40€
56862243,Vv. Vacacional edif. Carlomar B5,https://www.airbnb.es/rooms/568622430573394605?adults=2&children=0&infants=0&check_in=2022-05-26&check_out=2022-06-02&federated_search_id=ff72d8e2-7e50-4844-af65-f945a22116f0&source_impression_id=p3_1646428804_AWMS06SArR4C%2FpNV,2 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.17903,-16.81826']",60€
41935271,Apartamento Casa Maria II,https://www.airbnb.es/rooms/41935271?adults=2&children=0&infants=0&check_in=2022-05-24&check_out=2022-05-31&federated_search_id=ff72d8e2-7e50-4844-af65-f945a22116f0&source_impression_id=p3_1646428580_JN23QwlEPMsx%2F1Bc,2 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.18479,-16.81727']",39€ 
17950550,Acogedor Piso en Playa San Juan 2A,https://www.airbnb.es/rooms/17950550?adults=2&children=0&infants=0&check_in=2022-05-19&check_out=2022-05-26&federated_search_id=ff72d8e2-7e50-4844-af65-f945a22116f0&source_impression_id=p3_1646428592_pEfR4hmuHkyFVk2Y,4 huéspedes · 3 dormitorios · 3 camas · 2 baños,"['28.18338,-16.81929']",32€ 
6120067?,"Casa Playa, Playa San Juan, cerca del mar",https://www.airbnb.es/rooms/6120067?adults=2&children=0&infants=0&check_in=2022-05-31&check_out=2022-06-07&federated_search_id=b12100b2-b6a1-485a-a69e-c6a1ef3b3c88&source_impression_id=p3_1646428883_jRvkie7tyee4oMc2,3 huéspedes · 1 dormitorio · 4 camas · 1 baño,"['28.18483,-16.81887']",65€
29035308,Apartamento Mar Rizada,https://www.airbnb.es/rooms/29035308?adults=2&children=0&infants=0&check_in=2022-05-17&check_out=2022-05-24&federated_search_id=b12100b2-b6a1-485a-a69e-c6a1ef3b3c88&source_impression_id=p3_1646428871_NAJcwPYNmiWtY%2Bwv,3 huéspedes · 1 dormitorio · 2 camas · 1 baño,[],45€
52920792,Estupendo apartamento en Playa San Juan,https://www.airbnb.es/rooms/52920792?adults=2&children=0&infants=0&check_in=2022-05-11&check_out=2022-05-18&federated_search_id=ff72d8e2-7e50-4844-af65-f945a22116f0&source_impression_id=p3_1646428627_HBbu9NhLpEuxJ8Nu,"4 huéspedes · 2 dormitorios · 1,5 baños","['28.18138,-16.81666']",60€
51699281,apartamento mirando al mar,https://www.airbnb.es/rooms/51699281?adults=2&children=0&infants=0&check_in=2022-05-07&check_out=2022-05-14&federated_search_id=ff72d8e2-7e50-4844-af65-f945a22116f0&source_impression_id=p3_1646428639_3Gj6oUtas90AWBQ%2F,3 huéspedes · 1 dormitorio · 2 camas · 1 baño,[],50€
46083230,"""Apartamento a pie de playa"" ; Playa San Juan",https://www.airbnb.es/rooms/46083230?adults=2&children=0&infants=0&check_in=2022-05-05&check_out=2022-05-12&federated_search_id=ff72d8e2-7e50-4844-af65-f945a22116f0&source_impression_id=p3_1646428650_3SGF4X2GRbgS7ui1,"4 huéspedes · 1 dormitorio · 1 cama · 1,5 baños",[],45€
