,0,1,2,3,4
28606050,Pequeño y bonito apartamento,https://www.airbnb.es/rooms/28606050?adults=2&children=0&infants=0&check_in=2022-05-12&check_out=2022-05-19&federated_search_id=e6467165-93e7-47ce-90d6-a6ec004f7412&source_impression_id=p3_1646242756_dNNeQjXhl8F7Zxze,3 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.35708,-16.802']",23€ 
3988642?,Hiking&outdoor activities at Parque Rural de Teno,https://www.airbnb.es/rooms/3988642?adults=2&children=0&infants=0&check_in=2022-05-13&check_out=2022-05-18&federated_search_id=e6467165-93e7-47ce-90d6-a6ec004f7412&source_impression_id=p3_1646242768_IszBl3Yzi2wNsmgh,2 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.3474,-16.8451']",52€
52807790,LIVE MASCA CASATARUCHO,https://www.airbnb.es/rooms/52807790?adults=2&children=0&infants=0&check_in=2022-05-01&check_out=2022-05-08&federated_search_id=e6467165-93e7-47ce-90d6-a6ec004f7412&source_impression_id=p3_1646242779_WYVt4Ja2XAt7027h,4 huéspedes · 2 dormitorios · 3 camas · 1 baño,"['28.37353,-16.86164']",49€ 
40136303,Apartamento Playa Bonita en primera línea de playa,https://www.airbnb.es/rooms/40136303?adults=2&children=0&infants=0&check_in=2022-05-05&check_out=2022-05-12&federated_search_id=e6467165-93e7-47ce-90d6-a6ec004f7412&source_impression_id=p3_1646242791_1ZCjTtCzUMzO9sqR,3 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.37247,-16.79149']",40€ 
18383143,Casa Frente al Mar La Ponderoza,https://www.airbnb.es/rooms/18383143?adults=2&children=0&infants=0&check_in=2022-05-28&check_out=2022-06-04&federated_search_id=e6467165-93e7-47ce-90d6-a6ec004f7412&source_impression_id=p3_1646242803_oNitDY0Snf5YRnzP,"3 huéspedes · 1 dormitorio · 1 cama · 1,5 baños","['28.37467,-16.794']",37€ 
40778711,MASCA PARA BACKPACKERS,https://www.airbnb.es/rooms/40778711?adults=2&children=0&infants=0&check_in=2022-05-08&check_out=2022-05-15&federated_search_id=e6467165-93e7-47ce-90d6-a6ec004f7412&source_impression_id=p3_1646242815_amQYAIKz3X77vKyP,2 huéspedes · 1 dormitorio · 1 cama · 1 baño compartido,"['28.30251,-16.83738']",39€ 
1929762?,Casa rural La Vista,https://www.airbnb.es/rooms/1929762?adults=2&children=0&infants=0&check_in=2022-05-07&check_out=2022-05-14&federated_search_id=e6467165-93e7-47ce-90d6-a6ec004f7412&source_impression_id=p3_1646242827_JQMmSr885NgnesB5,3 huéspedes · 1 dormitorio · 3 camas · 1 baño,"['28.31917,-16.85542']",57€ 
21706175,Casa rural en finca ecológica,https://www.airbnb.es/rooms/21706175?adults=2&children=0&infants=0&check_in=2022-05-11&check_out=2022-05-18&federated_search_id=e6467165-93e7-47ce-90d6-a6ec004f7412&source_impression_id=p3_1646242839_PSgOodnyokFaY8Ub,5 huéspedes · 2 dormitorios · 3 camas · 1 baño,"['28.36334,-16.81648']",51€
31199993,Bonita Casa Rústica NICE RUSTIC HOUSE WIFI BARBACO,https://www.airbnb.es/rooms/31199993?adults=2&children=0&infants=0&check_in=2022-05-05&check_out=2022-05-12&federated_search_id=e6467165-93e7-47ce-90d6-a6ec004f7412&source_impression_id=p3_1646242850_4ic13%2B6UN0llhbIN,5 huéspedes · 2 dormitorios · 3 camas · 1 baño,"['28.36885,-16.831']",35€ 
20711103,"Esquina de Alberto Nº2, Wifi next to the beach ;)",https://www.airbnb.es/rooms/20711103?adults=2&children=0&infants=0&check_in=2022-05-28&check_out=2022-06-04&federated_search_id=c2b0a3a6-7690-4908-b888-b9148ff85a80&source_impression_id=p3_1646243009_8PUp3lFZUXNufzC6,4 huéspedes · 2 dormitorios · 2 camas · 2 baños,"['28.3728,-16.7896']",47€
20653197,Casa del Mar,https://www.airbnb.es/rooms/20653197?adults=2&children=0&infants=0&check_in=2022-05-30&check_out=2022-06-06&federated_search_id=e6467165-93e7-47ce-90d6-a6ec004f7412&source_impression_id=p3_1646242874_GMIp9Gdb1Oyw5COH,2 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.3734,-16.7918']",46€
2025849?,Casa Lydia,https://www.airbnb.es/rooms/2025849?adults=2&children=0&infants=0&check_in=2022-05-25&check_out=2022-06-01&federated_search_id=c2b0a3a6-7690-4908-b888-b9148ff85a80&source_impression_id=p3_1646243056_qYgAjShFXHPOKYQo,2 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.33043,-16.80457']",55€
51367010,Casa rural para el senderismo y la naturaleza,https://www.airbnb.es/rooms/51367010?adults=2&children=0&infants=0&check_in=2022-05-25&check_out=2022-06-01&federated_search_id=e6467165-93e7-47ce-90d6-a6ec004f7412&source_impression_id=p3_1646242897_tY8l425cyoNVknh%2F,"2 huéspedes · 1 dormitorio · 1 cama · 1,5 baños","['28.34203,-16.84515']",50€
2945604?,Pabellon Jardin-Estudio Garachico,https://www.airbnb.es/rooms/2945604?adults=2&children=0&infants=0&check_in=2022-05-08&check_out=2022-05-15&federated_search_id=e6467165-93e7-47ce-90d6-a6ec004f7412&source_impression_id=p3_1646242909_59JB5XiXVfI4vAUK,2 huéspedes · Estudio · 2 camas · 1 baño,"['28.3689,-16.7793']",30€
14759400,Vista Mar y Montaña,https://www.airbnb.es/rooms/14759400?adults=2&children=0&infants=0&check_in=2022-05-06&check_out=2022-05-13&federated_search_id=e6467165-93e7-47ce-90d6-a6ec004f7412&source_impression_id=p3_1646242921_PL%2Fy6I0FEiskRUtN,3 huéspedes · 1 dormitorio · 3 camas · 1 baño,"['28.36904,-16.84766']",70€
