,0,1,2,3,4
18300677,Studio close to the beach,https://www.airbnb.es/rooms/18300677?adults=2&children=0&infants=0&check_in=2022-05-23&check_out=2022-05-30&federated_search_id=d39f2934-c806-492e-ac71-f13419b1a176&source_impression_id=p3_1646321178_lo2G%2FK6XbXpzJ0%2Bz,2 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.05309,-16.71717']",32€
43647879,Apartamento vacacional cerca de la playa,https://www.airbnb.es/rooms/43647879?adults=2&children=0&infants=0&check_in=2022-05-12&check_out=2022-05-19&federated_search_id=d39f2934-c806-492e-ac71-f13419b1a176&source_impression_id=p3_1646321189_2mH4PXoYsYmZc3aE,3 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.05454,-16.71705']",54€ 
50410106,Acogedor apartamento,https://www.airbnb.es/rooms/50410106?adults=2&children=0&infants=0&check_in=2022-05-25&check_out=2022-06-01&federated_search_id=d39f2934-c806-492e-ac71-f13419b1a176&source_impression_id=p3_1646321200_d%2FleTcDW6kyhxW7h,4 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.05537,-16.71914']",35€
9152366?,Apartamento con wifi en el centro de Los Cristianos.,https://www.airbnb.es/rooms/9152366?adults=2&children=0&infants=0&check_in=2022-05-27&check_out=2022-06-03&federated_search_id=d39f2934-c806-492e-ac71-f13419b1a176&source_impression_id=p3_1646321212_ghE1Ym4fvQtEFrtX,3 huéspedes · 1 dormitorio · 3 camas · 1 baño,[],38€
47089688,Centrico y luminoso apartamento en Los Cristianos,https://www.airbnb.es/rooms/47089688?adults=2&children=0&infants=0&check_in=2022-05-25&check_out=2022-06-01&federated_search_id=d39f2934-c806-492e-ac71-f13419b1a176&source_impression_id=p3_1646321224_rfcqX8ZLbpBhsV7b,4 huéspedes · 1 dormitorio · 1 cama · 2 baños,"['28.0538,-16.7144']",50€ 
33261514,Apartamento muy centrico,https://www.airbnb.es/rooms/33261514?adults=2&children=0&infants=0&check_in=2022-05-18&check_out=2022-05-25&federated_search_id=d39f2934-c806-492e-ac71-f13419b1a176&source_impression_id=p3_1646321236_mbIupFAg29wg4EBv,"2 huéspedes · 1 dormitorio · 1 cama · 1,5 baños","['28.05239,-16.71644']",40€
47592367,bonito apartamento muy cerca de todo,https://www.airbnb.es/rooms/47592367?adults=2&children=0&infants=0&check_in=2022-05-19&check_out=2022-05-26&federated_search_id=d39f2934-c806-492e-ac71-f13419b1a176&source_impression_id=p3_1646321248_iZsDviN4rgwKvCuE,4 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.05443,-16.71804']",40€ 
19853832,Apartamento bien situado y con bonitas vistas.,https://www.airbnb.es/rooms/19853832?adults=2&children=0&infants=0&check_in=2022-05-15&check_out=2022-05-22&federated_search_id=d39f2934-c806-492e-ac71-f13419b1a176&source_impression_id=p3_1646321259_yOEhfD6wKZ2GTL1x,3 huéspedes · 1 dormitorio · 3 camas · 1 baño,"['28.05622,-16.71674']",48€ 
34568046,CÓMODO APARTAMENTO CÉNTRICO II,https://www.airbnb.es/rooms/34568046?adults=2&children=0&infants=0&check_in=2022-05-26&check_out=2022-06-02&federated_search_id=d39f2934-c806-492e-ac71-f13419b1a176&source_impression_id=p3_1646321271_RlDt%2Fs7pwrZC32ul,2 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.05535,-16.71559']",57€ 
38082284,Mi casa Tu Casa 🏖 Mi casa es la tuya,https://www.airbnb.es/rooms/38082284?adults=2&children=0&infants=0&check_in=2022-05-23&check_out=2022-05-30&federated_search_id=d39f2934-c806-492e-ac71-f13419b1a176&source_impression_id=p3_1646321283_fdmIROOIalkWUKUg,2 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.0516,-16.7181']",45€
52542095,"Close to las Vistas, modern apartment with wifi",https://www.airbnb.es/rooms/52542095?adults=2&children=0&infants=0&check_in=2022-05-29&check_out=2022-06-05&federated_search_id=d39f2934-c806-492e-ac71-f13419b1a176&source_impression_id=p3_1646321295_SKwLy3zhLwkAmXAE,3 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.05222,-16.71703']",39€
52396470,Impresionantes vistas al mar en Cactus Blanco,https://www.airbnb.es/rooms/52396470?adults=2&children=0&infants=0&check_in=2022-05-24&check_out=2022-05-31&federated_search_id=de78e1d1-b78e-438f-91f4-f4f55eb6868f&source_impression_id=p3_1646321435_L%2BEBGrOWurR0skJl,4 huéspedes · 1 dormitorio · 3 camas · 1 baño,"['28.05185,-16.71754']",39€
19681758,Comodo apartamento céntrico,https://www.airbnb.es/rooms/19681758?adults=2&children=0&infants=0&check_in=2022-05-17&check_out=2022-05-24&federated_search_id=d39f2934-c806-492e-ac71-f13419b1a176&source_impression_id=p3_1646321319_R9QvoAUIpS8TWt3h,2 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.05474,-16.71341']",57€ 
14990090,Piso Vistas Océano 400m Playa Las Vistas,https://www.airbnb.es/rooms/14990090?adults=2&children=0&infants=0&check_in=2022-05-21&check_out=2022-05-28&federated_search_id=d39f2934-c806-492e-ac71-f13419b1a176&source_impression_id=p3_1646321330_u0BpuDRWfGyX79VQ,3 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.05181,-16.72098']",66€ 
15702171,"Ático ""Mirador al Mar""",https://www.airbnb.es/rooms/15702171?adults=2&children=0&infants=0&check_in=2022-05-26&check_out=2022-06-02&federated_search_id=d39f2934-c806-492e-ac71-f13419b1a176&source_impression_id=p3_1646321343_SJTC3grQAT1WG0kK,3 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.0533,-16.7136']",50€ 
20530388,"Ático ""Mirador al mar 2""",https://www.airbnb.es/rooms/20530388?adults=2&children=0&infants=0&check_in=2022-05-27&check_out=2022-06-03&federated_search_id=efd0d7da-adf4-436e-a081-450de8fbc951&source_impression_id=p3_1646321701_tuya5SIRpVdHGv8p,3 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.0539,-16.7131']",48€ 
49745229,"Amplio, céntrico, y luminoso en Los Cristianos",https://www.airbnb.es/rooms/49745229?adults=2&children=0&infants=0&check_in=2022-05-02&check_out=2022-05-07&federated_search_id=d39f2934-c806-492e-ac71-f13419b1a176&source_impression_id=p3_1646321367_KYC2KiNzx78CpCpL,4 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.0539,-16.7144']",50€
17950638,Maravilloso apto. en Los Cristianos. Playa y Wifi.,https://www.airbnb.es/rooms/17950638?adults=2&children=0&infants=0&check_in=2022-05-02&check_out=2022-05-09&federated_search_id=d39f2934-c806-492e-ac71-f13419b1a176&source_impression_id=p3_1646321379_EOyrNwMGZYTQoWwI,3 huéspedes · 1 dormitorio · 2 camas · 1 baño,[],56€
50916215,Apartamentos Maria Luisa nº5,https://www.airbnb.es/rooms/50916215?adults=2&children=0&infants=0&check_in=2022-05-09&check_out=2022-05-16&federated_search_id=d39f2934-c806-492e-ac71-f13419b1a176&source_impression_id=p3_1646321391_3mJn%2B5jDgtURzcyO,2 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.05309,-16.71851']",55€
13214702,Amplio estudio con preciosa terraza y Wifi,https://www.airbnb.es/rooms/13214702?adults=2&children=0&infants=0&check_in=2022-05-06&check_out=2022-05-13&federated_search_id=d39f2934-c806-492e-ac71-f13419b1a176&source_impression_id=p3_1646321403_c9j3gRYUAmDLJmjV,2 huéspedes · Estudio · 2 camas · 1 baño,"['28.05385,-16.71237']",55€ 
38478401,Apartamento vista marina.CORNELIA'S HOME TC1,https://www.airbnb.es/rooms/38478401?adults=2&children=0&infants=0&check_in=2022-05-29&check_out=2022-06-05&federated_search_id=de78e1d1-b78e-438f-91f4-f4f55eb6868f&source_impression_id=p3_1646321424_bFf6bJScoS1Ei1vW,3 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.05134,-16.71928']",55€
19710264,Apartamento smart bien cuidado,https://www.airbnb.es/rooms/19710264?adults=2&children=0&infants=0&check_in=2022-05-01&check_out=2022-05-08&federated_search_id=de78e1d1-b78e-438f-91f4-f4f55eb6868f&source_impression_id=p3_1646321447_Hp%2FZHHErpI7v46ze,2 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.05367,-16.71337']",57€ 
39417094,Moderno apartamento en el corazón de Los Cristianos,https://www.airbnb.es/rooms/39417094?adults=2&children=0&infants=0&check_in=2022-05-21&check_out=2022-05-26&federated_search_id=de78e1d1-b78e-438f-91f4-f4f55eb6868f&source_impression_id=p3_1646321459_Bp2VmVpbiN1m6dFD,4 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.05461,-16.71207']",95€
52656102,"El Verodal, Los Cristianos",https://www.airbnb.es/rooms/52656102?adults=2&children=0&infants=0&check_in=2022-05-11&check_out=2022-05-18&federated_search_id=de78e1d1-b78e-438f-91f4-f4f55eb6868f&source_impression_id=p3_1646321471_TZ38chYilenNrLqp,3 huéspedes · 2 dormitorios · 2 camas · 1 baño,"['28.05504,-16.71718']",65€
42368390,Apartamento turístico en Los Cristianos.,https://www.airbnb.es/rooms/42368390?adults=2&children=0&infants=0&check_in=2022-05-23&check_out=2022-05-30&federated_search_id=de78e1d1-b78e-438f-91f4-f4f55eb6868f&source_impression_id=p3_1646321494_qwRThwTYE97esQkJ,2 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.0532,-16.7121']",64€
20142533,50MT DE LA PLAYA DE LOS CRISTIANOS!!!,https://www.airbnb.es/rooms/20142533?adults=2&children=0&infants=0&check_in=2022-05-24&check_out=2022-05-31&federated_search_id=de78e1d1-b78e-438f-91f4-f4f55eb6868f&source_impression_id=p3_1646321506_Y7TDwREb%2FMVWME7u,2 huéspedes · Estudio · 1 cama · 1 baño,"['28.05108,-16.718']",52€
39747708,COLINA TERRACE - LOS CRISTIANOS,https://www.airbnb.es/rooms/39747708?adults=2&children=0&infants=0&check_in=2022-05-28&check_out=2022-06-04&federated_search_id=de78e1d1-b78e-438f-91f4-f4f55eb6868f&source_impression_id=p3_1646321518_7dKGqT2HRQILi5Wr,4 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.05485,-16.71755']",60€ 
50409195,Los cristianos-Super céntrico a 100 m. de la playa,https://www.airbnb.es/rooms/50409195?adults=2&children=0&infants=0&check_in=2022-05-21&check_out=2022-05-28&federated_search_id=de78e1d1-b78e-438f-91f4-f4f55eb6868f&source_impression_id=p3_1646321530_NdmBbkD9%2BJqsJxOB,4 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.05331,-16.71802']",45€
18135274,. Apartam 1 dormitorio en el centro 201,https://www.airbnb.es/rooms/18135274?adults=2&children=0&infants=0&check_in=2022-05-15&check_out=2022-05-22&federated_search_id=de78e1d1-b78e-438f-91f4-f4f55eb6868f&source_impression_id=p3_1646321542_JJebl1OdT8oCRA%2B3,4 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.05219,-16.71549']",50€
16320567,Los Cristianos - a 5 min de la playa- AC,https://www.airbnb.es/rooms/16320567?adults=2&children=0&infants=0&check_in=2022-05-13&check_out=2022-05-20&federated_search_id=de78e1d1-b78e-438f-91f4-f4f55eb6868f&source_impression_id=p3_1646321554_E5YZFHPPVdoYxd0X,3 huéspedes · 1 dormitorio · 2 camas · 1 baño,[],55€
20858394,"Los Cristianos, vistas panorámicas al mar",https://www.airbnb.es/rooms/20858394?adults=2&children=0&infants=0&check_in=2022-05-01&check_out=2022-05-08&federated_search_id=de78e1d1-b78e-438f-91f4-f4f55eb6868f&source_impression_id=p3_1646321566_12gT46ZJ%2Bumgrj57,3 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.05318,-16.71986']",55€
47025466,Apartamento con vistas al mar a 5 min de la playa,https://www.airbnb.es/rooms/47025466?adults=2&children=0&infants=0&check_in=2022-05-07&check_out=2022-05-14&federated_search_id=de78e1d1-b78e-438f-91f4-f4f55eb6868f&source_impression_id=p3_1646321578_%2Fys5WHeT5o6L3%2Bcq,4 huéspedes · 2 dormitorios · 2 camas · 2 baños,[],67€
29120933,"Sunny Summerland, ap. con vistas a la ciudad y al mar #",https://www.airbnb.es/rooms/29120933?adults=2&children=0&infants=0&check_in=2022-05-01&check_out=2022-05-08&federated_search_id=de78e1d1-b78e-438f-91f4-f4f55eb6868f&source_impression_id=p3_1646321592_m%2FNAP5DHauEbTzpL,4 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.0537,-16.7117']",47€
32730826,"Moderno estudio soleado,con vistas, piscina y wifi",https://www.airbnb.es/rooms/32730826?adults=2&children=0&infants=0&check_in=2022-05-12&check_out=2022-05-19&federated_search_id=de78e1d1-b78e-438f-91f4-f4f55eb6868f&source_impression_id=p3_1646321606_CcY7GQYsLQlJnrs2,2 huéspedes · Estudio · 4 camas · 1 baño,"['28.0537,-16.7181']",65€
