,0,1,2,3,4
15913698,Sweet Dream- Balcon de Los Gigantes,https://www.airbnb.es/rooms/15913698?adults=2&children=0&infants=0&check_in=2022-05-23&check_out=2022-05-30&federated_search_id=5fcb4d21-b301-4db9-9974-78fe919819ad&source_impression_id=p3_1646443485_Dd%2BT6JfO4F9HDujf,4 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.23961,-16.84094']",41€
18253412,Apartamento con espectaculares vistas al mar,https://www.airbnb.es/rooms/18253412?adults=2&children=0&infants=0&check_in=2022-05-11&check_out=2022-05-18&federated_search_id=5fcb4d21-b301-4db9-9974-78fe919819ad&source_impression_id=p3_1646443496_Ue6o5NMeJhfSx9UD,2 huéspedes · 1 dormitorio · 1 cama · 1 baño,[],40€ 
22621683,Apartamento estudio con vista al mar,https://www.airbnb.es/rooms/22621683?adults=2&children=0&infants=0&check_in=2022-05-09&check_out=2022-05-16&federated_search_id=5fcb4d21-b301-4db9-9974-78fe919819ad&source_impression_id=p3_1646443508_omgpxPuhgzd2E4pd,2 huéspedes · Estudio · 2 camas · 1 baño,"['28.2375,-16.8425']",56€
15352405,TENERIFE. LOS GIGANTES,https://www.airbnb.es/rooms/15352405?adults=2&children=0&infants=0&check_in=2022-05-21&check_out=2022-05-28&federated_search_id=5fcb4d21-b301-4db9-9974-78fe919819ad&source_impression_id=p3_1646443520_7W8vJyakcbFbDg9z,4 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.23688,-16.84155']",26€
23511179,Vistas al mar. Disfruta de tu puesta de sol.,https://www.airbnb.es/rooms/23511179?adults=2&children=0&infants=0&check_in=2022-05-22&check_out=2022-05-29&federated_search_id=5fcb4d21-b301-4db9-9974-78fe919819ad&source_impression_id=p3_1646443532_avxI551E56qBojj0,4 huéspedes · 2 dormitorios · 2 camas · 1 baño,"['28.2373,-16.8430']",43€ 
14561145,Ocean Relax,https://www.airbnb.es/rooms/14561145?adults=2&children=0&infants=0&check_in=2022-05-13&check_out=2022-05-20&federated_search_id=5fcb4d21-b301-4db9-9974-78fe919819ad&source_impression_id=p3_1646443543_NXE2IAAodOsswSFv,4 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.24109,-16.84312']",41€
38745155,Cuarto piso encantador con vista al mar,https://www.airbnb.es/rooms/38745155?adults=2&children=0&infants=0&check_in=2022-05-15&check_out=2022-05-22&federated_search_id=5fcb4d21-b301-4db9-9974-78fe919819ad&source_impression_id=p3_1646443555_Bs%2BH6Zqdb2ghcmfI,4 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.23738,-16.84256']",60€
41102215,203 Studio with sea view,https://www.airbnb.es/rooms/41102215?adults=2&children=0&infants=0&check_in=2022-05-16&check_out=2022-05-23&federated_search_id=5fcb4d21-b301-4db9-9974-78fe919819ad&source_impression_id=p3_1646443567_uBUXeumwLPHsh7U8,2 huéspedes · Estudio · 1 cama · 1 baño,"['28.23656,-16.84307']",50€
38687356,Caleta Soul Apartment,https://www.airbnb.es/rooms/38687356?adults=2&children=0&infants=0&check_in=2022-05-21&check_out=2022-05-28&federated_search_id=5fcb4d21-b301-4db9-9974-78fe919819ad&source_impression_id=p3_1646443579_8%2FoeCIW%2BgiQk16qv,"2 huéspedes · 1 dormitorio · 2 camas · 1,5 baños","['28.23563,-16.84223']",43€
49773785,Estudio a estrenar frente al mar,https://www.airbnb.es/rooms/49773785?adults=2&children=0&infants=0&check_in=2022-05-21&check_out=2022-05-28&federated_search_id=5fcb4d21-b301-4db9-9974-78fe919819ad&source_impression_id=p3_1646443590_KnxDOTJCP8Xb9gOG,2 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.23781,-16.84122']",50€
33638880,Apartamento frente al mar en el encantador Puerto Santiago!,https://www.airbnb.es/rooms/33638880?adults=2&children=0&infants=0&check_in=2022-05-26&check_out=2022-06-02&federated_search_id=5fcb4d21-b301-4db9-9974-78fe919819ad&source_impression_id=p3_1646443602_pvsAE5EFooLSTHE%2B,4 huéspedes · 1 dormitorio · 3 camas · 1 baño,"['28.23748,-16.84321']",59€
30849760,SOBRE el OCÉANO en Los Gigantes en Tenerife,https://www.airbnb.es/rooms/30849760?adults=2&children=0&infants=0&check_in=2022-05-07&check_out=2022-05-14&federated_search_id=8046c423-259a-4c8f-a582-fdf19c8bfd4f&source_impression_id=p3_1646443773_%2Bolr4XBQybKIHTbe,3 huéspedes · 2 dormitorios · 2 camas · 1 baño privado,"['28.2364,-16.8426']",66€
51416675,apartamento Magec,https://www.airbnb.es/rooms/51416675?adults=2&children=0&infants=0&check_in=2022-05-26&check_out=2022-06-02&federated_search_id=5fcb4d21-b301-4db9-9974-78fe919819ad&source_impression_id=p3_1646443626_RiYSUK9DvUZ8NGsE,4 huéspedes · 1 dormitorio · 2 camas · 1 baño,[],60€ 
9815925?,Localización inmejorable a 250 metros de la playa,https://www.airbnb.es/rooms/9815925?adults=2&children=0&infants=0&check_in=2022-05-10&check_out=2022-05-17&federated_search_id=5fcb4d21-b301-4db9-9974-78fe919819ad&source_impression_id=p3_1646443638_tCUkKPUzR6eufagM,4 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.23645,-16.83963']",37€
15813199,Vistas espectaculares en apartamento acogedor,https://www.airbnb.es/rooms/15813199?adults=2&children=0&infants=0&check_in=2022-05-24&check_out=2022-05-31&federated_search_id=5fcb4d21-b301-4db9-9974-78fe919819ad&source_impression_id=p3_1646443650_f2PwI2V%2FmYtVfjQk,3 huéspedes · 1 dormitorio · 3 camas · 1 baño,"['28.2402,-16.8383']",46€
15863433,Tenerife Los Gigantes,https://www.airbnb.es/rooms/15863433?adults=2&children=0&infants=0&check_in=2022-05-21&check_out=2022-05-28&federated_search_id=5fcb4d21-b301-4db9-9974-78fe919819ad&source_impression_id=p3_1646443662_x0Z55rSAnDirSGsr,6 huéspedes · 2 dormitorios · 3 camas · 2 baños,"['28.23856,-16.84238']",46€ 
46343260,Estudio 403 con vistas al mar y WiFi,https://www.airbnb.es/rooms/46343260?adults=2&children=0&infants=0&check_in=2022-05-26&check_out=2022-06-02&federated_search_id=5fcb4d21-b301-4db9-9974-78fe919819ad&source_impression_id=p3_1646443673_HlyYZRKQ%2FgcD323H,2 huéspedes · 1 dormitorio · 1 cama · 2 baños,"['28.23804,-16.84263']",55€
55056053,Amplio apartamento con vistas a Los Acantilados,https://www.airbnb.es/rooms/550560533269018798?adults=2&children=0&infants=0&check_in=2022-05-06&check_out=2022-05-13&federated_search_id=8046c423-259a-4c8f-a582-fdf19c8bfd4f&source_impression_id=p3_1646443761_Vfi05R%2BqfmKHw8ad,3 huéspedes · 2 dormitorios · 2 camas · 1 baño,"['28.23906,-16.84136']",48€
44500068,¡Apartamento de 2BD con las mejores vistas de la ciudad!,https://www.airbnb.es/rooms/44500068?adults=2&children=0&infants=0&check_in=2022-05-31&check_out=2022-06-07&federated_search_id=5fcb4d21-b301-4db9-9974-78fe919819ad&source_impression_id=p3_1646443697_Un4zTiFqn7YLqmfU,4 huéspedes · 2 dormitorios · 3 camas · 1 baño,"['28.23679,-16.84354']",57€
