,0,1,2,3,4
3725874?,Studio Los Cristianos - Tenerife,https://www.airbnb.es/rooms/3725874?adults=2&children=0&infants=0&check_in=2022-05-18&check_out=2022-05-25&federated_search_id=99959562-96c2-4a84-84ed-2a9753af7027&source_impression_id=p3_1646316994_P35ANLUS%2BfRc9I00,2 huéspedes · Estudio · 2 camas · 1 baño,"['28.0535,-16.7077']",38€
45891347,Bonito estudio con piscina climatizada en Tenerife,https://www.airbnb.es/rooms/45891347?adults=2&children=0&infants=0&check_in=2022-05-30&check_out=2022-06-06&federated_search_id=99959562-96c2-4a84-84ed-2a9753af7027&source_impression_id=p3_1646317006_ao5ZsaClRvrPPY1K,"4 huéspedes · Estudio · 3 camas · 1,5 baños","['28.05454,-16.70575']",43€
47871084,Nuevo apartamento estudio mejor zona en los Cristianos,https://www.airbnb.es/rooms/47871084?adults=2&children=0&infants=0&check_in=2022-05-08&check_out=2022-05-15&federated_search_id=99959562-96c2-4a84-84ed-2a9753af7027&source_impression_id=p3_1646317018_lg9sVeuMJvHqJFZ8,2 huéspedes · 1 dormitorio · 1 baño,"['28.05572,-16.71052']",54€ 
17491959,Nueva villa privada moderna,https://www.airbnb.es/rooms/17491959?adults=2&children=0&infants=0&check_in=2022-05-26&check_out=2022-06-02&federated_search_id=99959562-96c2-4a84-84ed-2a9753af7027&source_impression_id=p3_1646317029_Jc%2Bn1zY3AmbPJl%2F3,3 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.05448,-16.704']",37€
5454146?,"Nice Apartment With Pool , Wifi .",https://www.airbnb.es/rooms/5454146?adults=2&children=0&infants=0&check_in=2022-05-08&check_out=2022-05-15&federated_search_id=99959562-96c2-4a84-84ed-2a9753af7027&source_impression_id=p3_1646317041_Ns14pF6n95omrzPw,4 huéspedes · 1 dormitorio · 3 camas · 1 baño,"['28.0547,-16.7098']",55€
13000181,"Sun, sea & relax ❤️❤️❤️ Carla's apartment",https://www.airbnb.es/rooms/13000181?adults=2&children=0&infants=0&check_in=2022-05-28&check_out=2022-06-04&federated_search_id=99959562-96c2-4a84-84ed-2a9753af7027&source_impression_id=p3_1646317053_nHpwztiK6lSFk888,2 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.05449,-16.70598']",55€
48856789,"Apartamento de una habitación con balcón, piscina climatizada, vista a la piscina, conexión Wi-Fi rápida (100 Mbps arriba/abajo)",https://www.airbnb.es/rooms/48856789?adults=2&children=0&infants=0&check_in=2022-05-27&check_out=2022-06-03&federated_search_id=e44806fb-00ee-4d23-8934-f4dc3accc032&source_impression_id=p3_1646317246_D0jaEEG3TlK9aI5Z,4 huéspedes · 1 dormitorio · 3 camas · 1 baño,"['28.05456,-16.70521']",55€ 
45720651,Apartamento 4 pers 600m de la playa/cerca de tiendas,https://www.airbnb.es/rooms/45720651?adults=2&children=0&infants=0&check_in=2022-05-09&check_out=2022-05-16&federated_search_id=99959562-96c2-4a84-84ed-2a9753af7027&source_impression_id=p3_1646317076_zVK666EnFYzYYZUw,4 huéspedes · 2 dormitorios · 3 camas · 1 baño,"['28.05504,-16.70925']",50€
11927060,Apartamento en Los Cristianos con vista al mar,https://www.airbnb.es/rooms/11927060?adults=2&children=0&infants=0&check_in=2022-05-25&check_out=2022-06-01&federated_search_id=99959562-96c2-4a84-84ed-2a9753af7027&source_impression_id=p3_1646317088_qh5QNl0mnjp2eMGa,4 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.05234,-16.70468']",55€ 
29675106,Stunning Studio in Port Royale los Cristianos.,https://www.airbnb.es/rooms/29675106?adults=2&children=0&infants=0&check_in=2022-05-06&check_out=2022-05-13&federated_search_id=99959562-96c2-4a84-84ed-2a9753af7027&source_impression_id=p3_1646317099_XmRDl0jR2dAgsmlW,3 huéspedes · Estudio · 3 camas · 1 baño,"['28.0516,-16.7039']",50€
51959494,Hermoso apartamento ubicado en un complejo con piscina .,https://www.airbnb.es/rooms/51959494?adults=2&children=0&infants=0&check_in=2022-05-27&check_out=2022-06-03&federated_search_id=99959562-96c2-4a84-84ed-2a9753af7027&source_impression_id=p3_1646317111_FjCy1PSMPirAyOp5,4 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.05359,-16.70464']",40€
41869208,"Apartamento soleado, wifi gratis, piscina climatizada",https://www.airbnb.es/rooms/41869208?adults=2&children=0&infants=0&check_in=2022-05-27&check_out=2022-06-03&federated_search_id=99959562-96c2-4a84-84ed-2a9753af7027&source_impression_id=p3_1646317123_mwhudBrcCzjDkUga,3 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.05405,-16.70488']",46€
