,0,1,2,3,4
48649367,Casita con piscina/ vistas al mar y plataneras,https://www.airbnb.es/rooms/48649367?adults=2&children=0&infants=0&check_in=2022-05-12&check_out=2022-05-19&federated_search_id=f987c842-d214-4a60-b9dc-894832628a54&source_impression_id=p3_1646268800_BsWENYhYnYiZVIfY,2 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.38946,-16.65696']",65€ 
32713868,Apartamento Ohana,https://www.airbnb.es/rooms/32713868?adults=2&children=0&infants=0&check_in=2022-05-09&check_out=2022-05-16&federated_search_id=f987c842-d214-4a60-b9dc-894832628a54&source_impression_id=p3_1646268811_Mi52azf5SBbZX%2Bb9,3 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.3874,-16.6737']",42€
21918119,Casa Lourdes,https://www.airbnb.es/rooms/21918119?adults=2&children=0&infants=0&check_in=2022-05-17&check_out=2022-05-24&federated_search_id=f987c842-d214-4a60-b9dc-894832628a54&source_impression_id=p3_1646268823_bvGzLqE31XYFKCzQ,"2 huéspedes · Estudio · 4 camas · 1,5 baños","['28.3741,-16.6508']",35€ 
47366423,Casa antigua / vistas al mar / pueblo tranquilo,https://www.airbnb.es/rooms/47366423?adults=2&children=0&infants=0&check_in=2022-05-17&check_out=2022-05-24&federated_search_id=f987c842-d214-4a60-b9dc-894832628a54&source_impression_id=p3_1646268835_SquwoxJn6G%2BAnQIH,"2 huéspedes · 1 dormitorio · 2 camas · 1,5 baños","['28.38943,-16.65473']",92€ 
41169306,Una casa con vistas,https://www.airbnb.es/rooms/41169306?adults=2&children=0&infants=0&check_in=2022-05-23&check_out=2022-05-30&federated_search_id=f987c842-d214-4a60-b9dc-894832628a54&source_impression_id=p3_1646268847_Dx%2BupFjUQmL3M5Yf,4 huéspedes · 2 dormitorios · 2 camas · 1 baño,[],35€
plus/318,Finca Rustica Terraza. Una vida de ensueño en Icod,https://www.airbnb.es/rooms/plus/31882988?adults=2&children=0&infants=0&check_in=2022-05-17&check_out=2022-05-24&federated_search_id=f987c842-d214-4a60-b9dc-894832628a54&source_impression_id=p3_1646268859_2j074jsMF7AsSmPN,2 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.3564,-16.6854']",85€
2295289?,Casita Racimo,https://www.airbnb.es/rooms/2295289?adults=2&children=0&infants=0&check_in=2022-05-04&check_out=2022-05-11&federated_search_id=f987c842-d214-4a60-b9dc-894832628a54&source_impression_id=p3_1646268870_REFq84bMFFbSIgkp,4 huéspedes · 2 dormitorios · 3 camas · 1 baño,[],55€
52948832,Casita el Vínculo - Historic & cozy Canarian house,https://www.airbnb.es/rooms/52948832?adults=2&children=0&infants=0&check_in=2022-05-04&check_out=2022-05-11&federated_search_id=f987c842-d214-4a60-b9dc-894832628a54&source_impression_id=p3_1646268882_fdVk1o89phkcoxza,3 huéspedes · 2 dormitorios · 3 camas · 1 baño,"['28.37306,-16.64994']",40€ 
3355047?,The Cactus House - Nature & Relax,https://www.airbnb.es/rooms/3355047?adults=2&children=0&infants=0&check_in=2022-05-25&check_out=2022-06-01&federated_search_id=f987c842-d214-4a60-b9dc-894832628a54&source_impression_id=p3_1646268894_t7j8qooDWu2VIVR3,4 huéspedes · 2 dormitorios · 3 camas · 1 baño,"['28.3714,-16.6725']",52€
29117929,Finca Mar y Teide,https://www.airbnb.es/rooms/29117929?adults=2&children=0&infants=0&check_in=2022-05-06&check_out=2022-05-13&federated_search_id=f987c842-d214-4a60-b9dc-894832628a54&source_impression_id=p3_1646268906_4Af6lEzrA2wLS%2FEU,2 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.3762,-16.6557']",41€
