,0,1,2,3,4
40033044,Casa con vistas al mar en Playa de Arena,https://www.airbnb.es/rooms/40033044?adults=2&children=0&infants=0&check_in=2022-05-22&check_out=2022-05-29&federated_search_id=e5f74c36-07e0-4d6a-8930-23ca9c9759a4&source_impression_id=p3_1646435634_wsQ%2FoTDJRk9ROTTQ,4 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.2283,-16.8405']",49€ 
38687356,Caleta Soul Apartment,https://www.airbnb.es/rooms/38687356?adults=2&children=0&infants=0&check_in=2022-05-26&check_out=2022-06-02&federated_search_id=e5f74c36-07e0-4d6a-8930-23ca9c9759a4&source_impression_id=p3_1646435646_kqiCTJ6D84bfFTC0,"2 huéspedes · 1 dormitorio · 2 camas · 1,5 baños","['28.23563,-16.84223']",42€
19091147,ACOGEDOR APARTAMENTO delante de la PLAYA,https://www.airbnb.es/rooms/19091147?adults=2&children=0&infants=0&check_in=2022-05-26&check_out=2022-06-02&federated_search_id=e5f74c36-07e0-4d6a-8930-23ca9c9759a4&source_impression_id=p3_1646435658_6Z2Xv%2B5CZ4wOnEET,3 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.2304,-16.8400']",31€
50049239,1 bedroom in playa de la arena,https://www.airbnb.es/rooms/50049239?adults=2&children=0&infants=0&check_in=2022-05-02&check_out=2022-05-09&federated_search_id=e5f74c36-07e0-4d6a-8930-23ca9c9759a4&source_impression_id=p3_1646435670_QtE1GR1MS%2F47xxWW,2 huéspedes · 1 dormitorio · 1 cama · 1 baño,[],50€
43598620,Playa y sol 10.,https://www.airbnb.es/rooms/43598620?adults=2&children=0&infants=0&check_in=2022-05-19&check_out=2022-05-26&federated_search_id=e5f74c36-07e0-4d6a-8930-23ca9c9759a4&source_impression_id=p3_1646435681_w%2B0boK9H6eW2HHWw,2 huéspedes · Estudio · 2 camas · 1 baño,"['28.2287,-16.8389']",35€ 
32164555,"Seguro del Sol, moderno apartamento en la playa",https://www.airbnb.es/rooms/32164555?adults=2&children=0&infants=0&check_in=2022-05-10&check_out=2022-05-17&federated_search_id=e5f74c36-07e0-4d6a-8930-23ca9c9759a4&source_impression_id=p3_1646435694_r0lFLsvh1ogo6ij9,"4 huéspedes · 2 dormitorios · 3 camas · 1,5 baños","['28.23129,-16.84042']",40€ 
38490370,"Plaza cómoda, ubicación práctica!Los Gigantes",https://www.airbnb.es/rooms/38490370?adults=2&children=0&infants=0&check_in=2022-05-18&check_out=2022-05-25&federated_search_id=e5f74c36-07e0-4d6a-8930-23ca9c9759a4&source_impression_id=p3_1646435706_mkd2UXYNzgtEncWf,4 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.23542,-16.84066']",40€ 
26195855,Apartamento estudio vista mar ☼Playa de la Arena☼,https://www.airbnb.es/rooms/26195855?adults=2&children=0&infants=0&check_in=2022-05-21&check_out=2022-05-28&federated_search_id=e5f74c36-07e0-4d6a-8930-23ca9c9759a4&source_impression_id=p3_1646435718_bSHD9t8VMTTGzlzc,"2 huéspedes · Estudio · 1 cama · 1,5 baños",[],40€
5899065?,Aparthotel en Playa la Arena,https://www.airbnb.es/rooms/5899065?adults=2&children=0&infants=0&check_in=2022-05-20&check_out=2022-05-27&federated_search_id=eb4cd37e-382f-4e0f-8c5a-fdb6cb6d1795&source_impression_id=p3_1646436524_kGGR0%2BrU0nyF9ISo,4 huéspedes · 1 dormitorio · 3 camas · 1 baño,"['28.22958,-16.84141']",42€ 
39648600,"Piscina y balcón, a 5 minutos de Playa La Arena.",https://www.airbnb.es/rooms/39648600?adults=2&children=0&infants=0&check_in=2022-05-01&check_out=2022-05-08&federated_search_id=e5f74c36-07e0-4d6a-8930-23ca9c9759a4&source_impression_id=p3_1646435741_5Sh%2Frd3Tow%2BDnKnE,4 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.2279,-16.8404']",50€ 
40841085,Ocean shore apartment 2,https://www.airbnb.es/rooms/40841085?adults=2&children=0&infants=0&check_in=2022-05-06&check_out=2022-05-13&federated_search_id=e5f74c36-07e0-4d6a-8930-23ca9c9759a4&source_impression_id=p3_1646435753_DDcq3qBJKszlmRvF,2 huéspedes · 1 dormitorio · 1 cama · 1 baño,[],80€
4117581?,Live Puerto Santiago Europa,https://www.airbnb.es/rooms/4117581?adults=2&children=0&infants=0&check_in=2022-05-31&check_out=2022-06-07&federated_search_id=e5f74c36-07e0-4d6a-8930-23ca9c9759a4&source_impression_id=p3_1646435765_RkHYfp%2BJ76BDOfzl,3 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.23416,-16.84063']",60€ 
27998093,Bonito apartamento cerca del mar,https://www.airbnb.es/rooms/27998093?adults=2&children=0&infants=0&check_in=2022-05-18&check_out=2022-05-25&federated_search_id=e5f74c36-07e0-4d6a-8930-23ca9c9759a4&source_impression_id=p3_1646435776_nilawII6afhsTwE1,3 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.2356,-16.8409']",48€
51060754,Live Puerto Santiago Europa II,https://www.airbnb.es/rooms/51060754?adults=2&children=0&infants=0&check_in=2022-05-08&check_out=2022-05-15&federated_search_id=e5f74c36-07e0-4d6a-8930-23ca9c9759a4&source_impression_id=p3_1646435788_yc2Z46BJnbIxFzKR,4 huéspedes · 1 dormitorio · 3 camas · 1 baño,"['28.23185,-16.84083']",50€ 
51973619,"Apartamento con terraza, vista mar, wifi, A/C, piscina, 50 mts. de la playa",https://www.airbnb.es/rooms/51973619?adults=2&children=0&infants=0&check_in=2022-05-25&check_out=2022-06-01&federated_search_id=e5f74c36-07e0-4d6a-8930-23ca9c9759a4&source_impression_id=p3_1646435800_SBmJIqmhLqUlR9m6,3 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.2289,-16.8412']",51€
