,0,1,2,3,4
38064330,"Half Lemon House. Terraza, piscina, spa y playa",https://www.airbnb.es/rooms/38064330?adults=2&children=0&infants=0&check_in=2022-05-20&check_out=2022-05-27&federated_search_id=0c95d088-332e-47f7-8b47-f022e8f81c4f&source_impression_id=p3_1646404468_hch5bXkiSJEF6AZE,4 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.12699,-16.77369']",46€ 
50585841,Enjoy the Paradise Sun Beach Relax,https://www.airbnb.es/rooms/50585841?adults=2&children=0&infants=0&check_in=2022-05-14&check_out=2022-05-21&federated_search_id=0c95d088-332e-47f7-8b47-f022e8f81c4f&source_impression_id=p3_1646404480_q0WDitwp8sBESr5h,2 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.1288,-16.7681']",38€
48619118,"Increíble piso con vista al mar en Adeje, Playa Paraiso",https://www.airbnb.es/rooms/48619118?adults=2&children=0&infants=0&check_in=2022-05-21&check_out=2022-05-28&federated_search_id=0c95d088-332e-47f7-8b47-f022e8f81c4f&source_impression_id=p3_1646404491_YkG50%2Fz33mvfCvTv,4 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.12345,-16.77564']",30€
32326066,Beautiful Studio Apartment Playa Paraíso . Wifi,https://www.airbnb.es/rooms/32326066?adults=2&children=0&infants=0&check_in=2022-05-19&check_out=2022-05-26&federated_search_id=0c95d088-332e-47f7-8b47-f022e8f81c4f&source_impression_id=p3_1646404503_0RFcyai8j4eQVkYW,2 huéspedes · Estudio · 2 camas · 1 baño,"['28.12346,-16.77689']",32€ 
957006?a,Lux apartment. Live front the ocean,https://www.airbnb.es/rooms/957006?adults=2&children=0&infants=0&check_in=2022-05-23&check_out=2022-05-30&federated_search_id=0c95d088-332e-47f7-8b47-f022e8f81c4f&source_impression_id=p3_1646404515_7fv0AsjCJd%2Fh9vQi,2 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.12329,-16.77643']",56€ 
4473723?,Tenerife Dúplex Callao zen,https://www.airbnb.es/rooms/4473723?adults=2&children=0&infants=0&check_in=2022-05-30&check_out=2022-06-06&federated_search_id=0c95d088-332e-47f7-8b47-f022e8f81c4f&source_impression_id=p3_1646404526_HHeXWnItIqyml1Eg,"4 huéspedes · 2 dormitorios · 2 camas · 1,5 baños","['28.1318,-16.7776']",51€ 
52725734,apartamento reformado con piscina,https://www.airbnb.es/rooms/52725734?adults=2&children=0&infants=0&check_in=2022-05-04&check_out=2022-05-11&federated_search_id=0c95d088-332e-47f7-8b47-f022e8f81c4f&source_impression_id=p3_1646404538_1K9vlRHZRgcfQzX7,4 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.12663,-16.77402']",45€
49627124,Apartamento La Rosa,https://www.airbnb.es/rooms/49627124?adults=2&children=0&infants=0&check_in=2022-05-04&check_out=2022-05-11&federated_search_id=0c95d088-332e-47f7-8b47-f022e8f81c4f&source_impression_id=p3_1646404550_wUSU9lGU7kVqwWEx,4 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.12546,-16.77207']",50€ 
18688309,Tenerife Callao Penthouse,https://www.airbnb.es/rooms/18688309?adults=2&children=0&infants=0&check_in=2022-05-16&check_out=2022-05-23&federated_search_id=0c95d088-332e-47f7-8b47-f022e8f81c4f&source_impression_id=p3_1646404562_oTDUvLkJh7ApLtFV,4 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.13515,-16.77804']",42€ 
38057129,Club Paraiso with wifi and free parking!!!,https://www.airbnb.es/rooms/38057129?adults=2&children=0&infants=0&check_in=2022-05-05&check_out=2022-05-12&federated_search_id=0c95d088-332e-47f7-8b47-f022e8f81c4f&source_impression_id=p3_1646404574_vdo%2FXstJdlXuXajC,"4 huéspedes · 2 dormitorios · 2 camas · 1,5 baños","['28.12328,-16.77541']",57€
54174225,Amazing terrace with gorgeous sunset view,https://www.airbnb.es/rooms/54174225?adults=2&children=0&infants=0&check_in=2022-05-30&check_out=2022-06-04&federated_search_id=0c95d088-332e-47f7-8b47-f022e8f81c4f&source_impression_id=p3_1646404585_igFcnmcWkqn59Q5k,2 huéspedes · 1 dormitorio · 1 cama · 1 baño,[],64€
21187756,"Muy popular casa de pueblo, excelentes críticas,gran",https://www.airbnb.es/rooms/21187756?adults=2&children=0&infants=0&check_in=2022-05-06&check_out=2022-05-13&federated_search_id=0c95d088-332e-47f7-8b47-f022e8f81c4f&source_impression_id=p3_1646404597_vvX2R8TBHW1tYSoC,6 huéspedes · 3 dormitorios · 4 camas · 2 baños,"['28.13158,-16.77024']",62€
14132140,Perfecto apartamento de playa. WIFI,https://www.airbnb.es/rooms/14132140?adults=2&children=0&infants=0&check_in=2022-05-24&check_out=2022-05-31&federated_search_id=0c95d088-332e-47f7-8b47-f022e8f81c4f&source_impression_id=p3_1646404610_HkLHt8GMsh09c5AI,4 huéspedes · 2 dormitorios · 2 camas · 1 baño,"['28.12978,-16.77865']",56€
51546165,NEW APARTMENT TERRACE POOL WIFI,https://www.airbnb.es/rooms/51546165?adults=2&children=0&infants=0&check_in=2022-05-03&check_out=2022-05-10&federated_search_id=0c95d088-332e-47f7-8b47-f022e8f81c4f&source_impression_id=p3_1646404621_aKvA%2BmOlRJnQUUxB,4 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.12548,-16.77239']",57€
18209001,Apartamento Hard Rock con garaje Tenerife sud,https://www.airbnb.es/rooms/18209001?adults=2&children=0&infants=0&check_in=2022-05-31&check_out=2022-06-07&federated_search_id=9c1c2e84-da53-4feb-bb7c-fd86575fc123&source_impression_id=p3_1646404787_sZlLowpjEDTy53LI,5 huéspedes · 1 dormitorio · 3 camas · 1 baño,"['28.12341,-16.77527']",63€
42678470,"Apartamento con vistas al mar, piscina, jardín, garaje",https://www.airbnb.es/rooms/42678470?adults=2&children=0&infants=0&check_in=2022-05-08&check_out=2022-05-15&federated_search_id=0c95d088-332e-47f7-8b47-f022e8f81c4f&source_impression_id=p3_1646404645_m8pECRq7g%2F89o54f,"5 huéspedes · 2 dormitorios · 3 camas · 1,5 baños","['28.1324,-16.7786']",66€ 
29475533,Wonderful 2 bd apartment with great terrace,https://www.airbnb.es/rooms/29475533?adults=2&children=0&infants=0&check_in=2022-05-03&check_out=2022-05-10&federated_search_id=9c1c2e84-da53-4feb-bb7c-fd86575fc123&source_impression_id=p3_1646404714_dzAVpObuexb1cjhh,5 huéspedes · 2 dormitorios · 4 camas · 2 baños,"['28.12463,-16.774']",73€
