,0,1,2,3,4
10778172,"Dinamic people, Terrace, Ideal free beach.",https://www.airbnb.es/rooms/10778172?adults=2&children=0&infants=0&check_in=2022-05-18&check_out=2022-05-25&federated_search_id=f84b2bdc-64fe-4c59-abfe-a4beff08beb1&source_impression_id=p3_1646265348_N7SnlKI9Yu6ml8D2,5 huéspedes · 1 dormitorio · 3 camas · 1 baño,"['28.5047,-16.1942']",50€
34350346,Precioso apartamento de 1 dormitorio en la playa,https://www.airbnb.es/rooms/34350346?adults=2&children=0&infants=0&check_in=2022-05-19&check_out=2022-05-26&federated_search_id=f84b2bdc-64fe-4c59-abfe-a4beff08beb1&source_impression_id=p3_1646265360_3HOJwZo3nCbE2G8w,2 huéspedes · 1 dormitorio · 4 camas · 1 baño,"['28.56963,-16.20546']",43€ 
2885265?,Pequeña cabaña en el Parque Rural de Anaga,https://www.airbnb.es/rooms/2885265?adults=2&children=0&infants=0&check_in=2022-05-30&check_out=2022-06-06&federated_search_id=f84b2bdc-64fe-4c59-abfe-a4beff08beb1&source_impression_id=p3_1646265372_zcY4xRKDmxljW2ij,"4 huéspedes · 2 dormitorios · 3 camas · 1,5 baños","['28.56178,-16.22669']",65€
32512899,Ático en San Andrés. Playa de Las Teresitas/Anaga,https://www.airbnb.es/rooms/32512899?adults=2&children=0&infants=0&check_in=2022-05-25&check_out=2022-06-01&federated_search_id=f84b2bdc-64fe-4c59-abfe-a4beff08beb1&source_impression_id=p3_1646265384_pO67aF2rt2J1szeF,3 huéspedes · 2 dormitorios · 3 camas · 1 baño,"['28.50523,-16.19267']",44€ 
12770242,Muy tranquilo - Primera linea Playa,https://www.airbnb.es/rooms/12770242?adults=2&children=0&infants=0&check_in=2022-05-04&check_out=2022-05-11&federated_search_id=f84b2bdc-64fe-4c59-abfe-a4beff08beb1&source_impression_id=p3_1646265396_zoVrrLKCFmctpmCC,5 huéspedes · 2 dormitorios · 4 camas · 1 baño,"['28.5155,-16.1729']",67€
20452715,Precioso apartamento en la costa de Taganana.,https://www.airbnb.es/rooms/20452715?adults=2&children=0&infants=0&check_in=2022-05-13&check_out=2022-05-20&federated_search_id=f84b2bdc-64fe-4c59-abfe-a4beff08beb1&source_impression_id=p3_1646265407_ZCgDgpUp1UB1qgth,4 huéspedes · 2 dormitorios · 3 camas · 1 baño,"['28.56968,-16.20388']",49€ 
2651783?,"CASA DEL CUBANO ""A"" in Anaga Biosphere Reserve",https://www.airbnb.es/rooms/2651783?adults=2&children=0&infants=0&check_in=2022-05-24&check_out=2022-05-31&federated_search_id=f84b2bdc-64fe-4c59-abfe-a4beff08beb1&source_impression_id=p3_1646265419_g%2FhQ3TNMZ8eyqBnC,3 huéspedes · 1 dormitorio · 1 cama · 1 baño,[],35€ 
33755121,Apartamento Las Gaviotas 305,https://www.airbnb.es/rooms/33755121?adults=2&children=0&infants=0&check_in=2022-05-28&check_out=2022-06-04&federated_search_id=f84b2bdc-64fe-4c59-abfe-a4beff08beb1&source_impression_id=p3_1646265431_vSUYVFv2h1Mzkir0,4 huéspedes · 1 dormitorio · 3 camas · 1 baño,"['28.51469,-16.17357']",57€ 
27807818,Apartamento playa chica las gaviotas,https://www.airbnb.es/rooms/27807818?adults=2&children=0&infants=0&check_in=2022-05-01&check_out=2022-05-08&federated_search_id=f84b2bdc-64fe-4c59-abfe-a4beff08beb1&source_impression_id=p3_1646265443_muXtbyUfT7SasxWK,4 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.51563,-16.17403']",48€ 
23288794,Apartamento San Andrés,https://www.airbnb.es/rooms/23288794?adults=2&children=0&infants=0&check_in=2022-05-26&check_out=2022-06-02&federated_search_id=f84b2bdc-64fe-4c59-abfe-a4beff08beb1&source_impression_id=p3_1646265455_yp8ajn3ZNcPPOJS0,4 huéspedes · 2 dormitorios · 4 camas · 2 baños,"['28.50934,-16.19864']",65€
