,0,1,2,3,4
24938138,Balcón del mar,https://www.airbnb.es/rooms/24938138?adults=2&children=0&infants=0&check_in=2022-05-30&check_out=2022-06-06&federated_search_id=d54a4c63-fe6a-4658-909a-e06e47dc31ce&source_impression_id=p3_1646565859_rV0q9gpPzDYle9%2FN,3 huéspedes · Estudio · 2 camas · 1 baño,"['28.5026,-16.4254']",42€ 
51940792,Surrounded by nature in front the Atlantic Ocean 2,https://www.airbnb.es/rooms/51940792?adults=2&children=0&infants=0&check_in=2022-05-04&check_out=2022-05-09&federated_search_id=26845d0e-b1c6-4ada-9b04-a2f40d1a0e98&source_impression_id=p3_1646566117_ueI4uwQ%2Fz31bk%2Btp,2 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.47853,-16.43751']",52€
10135375,"PARADISE BEACH & POOL, WIFI, VIEWS, TERRACE,GARAGE",https://www.airbnb.es/rooms/10135375?adults=2&children=0&infants=0&check_in=2022-05-30&check_out=2022-06-06&federated_search_id=d54a4c63-fe6a-4658-909a-e06e47dc31ce&source_impression_id=p3_1646565883_mnBMU1F8jbo7kyFi,3 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.5033,-16.4229']",47€
3674557?,"THE VIEWS , The luxury oriental loft in the north.",https://www.airbnb.es/rooms/3674557?adults=2&children=0&infants=0&check_in=2022-05-19&check_out=2022-05-26&federated_search_id=d54a4c63-fe6a-4658-909a-e06e47dc31ce&source_impression_id=p3_1646565895_bFRfK85POtReWEZL,2 huéspedes · 1 dormitorio · 1 cama · 1 baño,[],85€
17412527,"Apartamento frente al Océano. El Pris, Tacoronte.",https://www.airbnb.es/rooms/17412527?adults=2&children=0&infants=0&check_in=2022-05-20&check_out=2022-05-27&federated_search_id=26845d0e-b1c6-4ada-9b04-a2f40d1a0e98&source_impression_id=p3_1646566105_R3mhA%2BjH5Xzmxe2n,6 huéspedes · 3 dormitorios · 5 camas · 1 baño,"['28.5091,-16.4214']",48€
16655311,Las Pintaderas - Enclave único frente al mar,https://www.airbnb.es/rooms/16655311?adults=2&children=0&infants=0&check_in=2022-05-20&check_out=2022-05-27&federated_search_id=d54a4c63-fe6a-4658-909a-e06e47dc31ce&source_impression_id=p3_1646565919_tnGjuQ7VaRnFZXQq,2 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.47983,-16.43566']",60€
19099688,Casa diminuta a 5 metros del Mar,https://www.airbnb.es/rooms/19099688?adults=2&children=0&infants=0&check_in=2022-05-19&check_out=2022-05-26&federated_search_id=d54a4c63-fe6a-4658-909a-e06e47dc31ce&source_impression_id=p3_1646565931_vjCYqNoxQ5u0ahiE,"3 huéspedes · 1 dormitorio · 2 camas · 1,5 baños","['28.5083,-16.4213']",39€
24418778,romántico estudio con vistas wifi gratis,https://www.airbnb.es/rooms/24418778?adults=2&children=0&infants=0&check_in=2022-05-14&check_out=2022-05-21&federated_search_id=d54a4c63-fe6a-4658-909a-e06e47dc31ce&source_impression_id=p3_1646565943_pCDwVQxmS%2FStpeUy,"2 huéspedes · Estudio · 1 cama · 1,5 baños","['28.50186,-16.42061']",40€ 
43877603,Tenerife Anahata Relax,https://www.airbnb.es/rooms/43877603?adults=2&children=0&infants=0&check_in=2022-05-12&check_out=2022-05-19&federated_search_id=d54a4c63-fe6a-4658-909a-e06e47dc31ce&source_impression_id=p3_1646565954_24mSCGSm%2FH3scmNa,3 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.50327,-16.42681']",39€
27699144,New Studio! And Swimming pool,https://www.airbnb.es/rooms/27699144?adults=2&children=0&infants=0&check_in=2022-05-14&check_out=2022-05-21&federated_search_id=d54a4c63-fe6a-4658-909a-e06e47dc31ce&source_impression_id=p3_1646565966_rTgRHTdqMQJz25Gz,3 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.49893,-16.41292']",52€
