,0,1,2,3,4
29506387,"Apartamento con Wi-fi Aeropuerto Reina Sofia, Sur.",https://www.airbnb.es/rooms/29506387?adults=2&children=0&infants=0&check_in=2022-05-13&check_out=2022-05-20&federated_search_id=3c6398dd-903e-4d1e-a963-bef6f9c6fb2d&source_impression_id=p3_1646476363_vO1UHatqZlEhwMV8,4 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.05666,-16.614']",35€
12648803,Casita Privada En Jardin Tropical,https://www.airbnb.es/rooms/12648803?adults=2&children=0&infants=0&check_in=2022-05-29&check_out=2022-06-05&federated_search_id=3c6398dd-903e-4d1e-a963-bef6f9c6fb2d&source_impression_id=p3_1646476376_vtoHRVEueBtMGZf6,2 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.08101,-16.68058']",39€
43651756,Loft en Tenerife sur para alquiler vacacional,https://www.airbnb.es/rooms/43651756?adults=2&children=0&infants=0&check_in=2022-05-14&check_out=2022-05-21&federated_search_id=3c6398dd-903e-4d1e-a963-bef6f9c6fb2d&source_impression_id=p3_1646476388_teHxTLhWktNf4kum,2 huéspedes · Estudio · 1 cama · 1 baño,"['28.06933,-16.67195']",30€ 
51118557,Bonito apartamento estilo Hamptons con piscina,https://www.airbnb.es/rooms/51118557?adults=2&children=0&infants=0&check_in=2022-05-06&check_out=2022-05-13&federated_search_id=3c6398dd-903e-4d1e-a963-bef6f9c6fb2d&source_impression_id=p3_1646476399_4oEgabr6e9JvvunM,3 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.05571,-16.65331']",70€
51108195,Oasis de bienestar relajante y acogedor,https://www.airbnb.es/rooms/51108195?adults=2&children=0&infants=0&check_in=2022-05-10&check_out=2022-05-17&federated_search_id=3c6398dd-903e-4d1e-a963-bef6f9c6fb2d&source_impression_id=p3_1646476412_tjpXDuXTS1pCgAnJ,2 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.05752,-16.65196']",70€
46914456,ALISIOS BLUE SUIT SPA,https://www.airbnb.es/rooms/46914456?adults=2&children=0&infants=0&check_in=2022-05-22&check_out=2022-05-29&federated_search_id=9a698ca2-9610-47c1-ab7f-5d801d4375c8&source_impression_id=p3_1646477805_H2EzwhkcnMyqaN4B,2 huéspedes · 1 dormitorio · 2 camas · 1 baño,[],67€ 
18519952,Apartamento en el pueblo!,https://www.airbnb.es/rooms/18519952?adults=2&children=0&infants=0&check_in=2022-05-06&check_out=2022-05-13&federated_search_id=3c6398dd-903e-4d1e-a963-bef6f9c6fb2d&source_impression_id=p3_1646476436_tu1XQSvxNa8OOd53,4 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.03548,-16.64107']",27€
9912343?,CASA GRANERO - CASERÍO DE GUAZA,https://www.airbnb.es/rooms/9912343?adults=2&children=0&infants=0&check_in=2022-05-30&check_out=2022-06-06&federated_search_id=3c6398dd-903e-4d1e-a963-bef6f9c6fb2d&source_impression_id=p3_1646476448_ZHpfvOOpWblOkgTk,2 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.03558,-16.68272']",108€
22954099,CASA MARÍA - CASERÍO DE GUAZA,https://www.airbnb.es/rooms/22954099?adults=2&children=0&infants=0&check_in=2022-05-06&check_out=2022-05-13&federated_search_id=3c6398dd-903e-4d1e-a963-bef6f9c6fb2d&source_impression_id=p3_1646476460_cNOjY0jLZp2DT2ot,2 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.03333,-16.68451']",96€
18136140,"Villa privada con jardín, jacuzzi y vistas al mar",https://www.airbnb.es/rooms/18136140?adults=2&children=0&infants=0&check_in=2022-05-14&check_out=2022-05-21&federated_search_id=3c6398dd-903e-4d1e-a963-bef6f9c6fb2d&source_impression_id=p3_1646476472_TRKYd50aquTHabgw,5 huéspedes · 1 dormitorio · 3 camas · 1 baño,"['28.08399,-16.65422']",75€
31262821,"Casa Héctor, con piscina privada climatizada!",https://www.airbnb.es/rooms/31262821?adults=2&children=0&infants=0&check_in=2022-05-03&check_out=2022-05-10&federated_search_id=9a698ca2-9610-47c1-ab7f-5d801d4375c8&source_impression_id=p3_1646477791_fRENUfxge4lcFubo,"2 huéspedes · 1 dormitorio · 1 cama · 1,5 baños",[],138€
41554235,Casa Isa,https://www.airbnb.es/rooms/41554235?adults=2&children=0&infants=0&check_in=2022-05-29&check_out=2022-06-05&federated_search_id=3c6398dd-903e-4d1e-a963-bef6f9c6fb2d&source_impression_id=p3_1646476496_9B6v8Kb2o%2BLLkAnl,4 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.0509,-16.6768']",33€ 
20563346,Casita Sandra,https://www.airbnb.es/rooms/20563346?adults=2&children=0&infants=0&check_in=2022-05-14&check_out=2022-05-21&federated_search_id=9a698ca2-9610-47c1-ab7f-5d801d4375c8&source_impression_id=p3_1646477925_GM3Yl80pTkDZx4bS,2 huéspedes · 1 dormitorio · 1 cama · 1 baño,[],48€
20448409,Finca Ardilla,https://www.airbnb.es/rooms/20448409?adults=2&children=0&infants=0&check_in=2022-05-29&check_out=2022-06-05&federated_search_id=3c6398dd-903e-4d1e-a963-bef6f9c6fb2d&source_impression_id=p3_1646476520_jDf1RaHUdXes4orE,2 huéspedes · Estudio · 2 camas · 1 baño,"['28.07425,-16.66798']",35€
19875709,Bonito apartamento en San Miguel de Abona,https://www.airbnb.es/rooms/19875709?adults=2&children=0&infants=0&check_in=2022-05-22&check_out=2022-05-29&federated_search_id=3c6398dd-903e-4d1e-a963-bef6f9c6fb2d&source_impression_id=p3_1646476532_72KnMVl5lIegwibO,4 huéspedes · 2 dormitorios · 6 camas · 1 baño,"['28.05584,-16.61591']",48€ 
25395471,"Casita 1 dormitorio, piscina común climatizada",https://www.airbnb.es/rooms/25395471?adults=2&children=0&infants=0&check_in=2022-05-09&check_out=2022-05-16&federated_search_id=9a698ca2-9610-47c1-ab7f-5d801d4375c8&source_impression_id=p3_1646477911_X19nVl3ZP%2BIfNdKI,3 huéspedes · 1 dormitorio · 2 camas · 1 baño,[],94€
42760063,"Nuevo apartamento, amplia terraza y vistas al mar",https://www.airbnb.es/rooms/42760063?adults=2&children=0&infants=0&check_in=2022-05-10&check_out=2022-05-17&federated_search_id=3c6398dd-903e-4d1e-a963-bef6f9c6fb2d&source_impression_id=p3_1646476556_ZjR%2BdcDZB5R1tcKM,4 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.08464,-16.65654']",65€
54194872,Encantador apartamento en el green,https://www.airbnb.es/rooms/54194872?adults=2&children=0&infants=0&check_in=2022-05-31&check_out=2022-06-07&federated_search_id=9a698ca2-9610-47c1-ab7f-5d801d4375c8&source_impression_id=p3_1646477898_8Pel%2BXsg08TWSzlX,3 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.08262,-16.65499']",55€
32862646,Home2Book Beautiful Duplex Parque La Reina + Wifi,https://www.airbnb.es/rooms/32862646?adults=2&children=0&infants=0&check_in=2022-05-16&check_out=2022-05-23&federated_search_id=9a698ca2-9610-47c1-ab7f-5d801d4375c8&source_impression_id=p3_1646477885_gH0CPQ58jK9xadCK,6 huéspedes · 3 dormitorios · 4 camas · 2 baños,[],164€ 
45965982,Casa de 1 dormitorio en la piscina climatizada Banana Plantation,https://www.airbnb.es/rooms/45965982?adults=2&children=0&infants=0&check_in=2022-05-29&check_out=2022-06-05&federated_search_id=3c6398dd-903e-4d1e-a963-bef6f9c6fb2d&source_impression_id=p3_1646476591_VjdgRQP12YoGJTdT,3 huéspedes · 1 dormitorio · 1 baño,"['28.03859,-16.63338']",77€
51919718,Casa rural Mariposa en pueblo tranquilo con WIFI,https://www.airbnb.es/rooms/51919718?adults=2&children=0&infants=0&check_in=2022-05-12&check_out=2022-05-19&federated_search_id=b30926f4-1a5a-4439-a5eb-ed371a27d059&source_impression_id=p3_1646478208_x%2BfvRUxAYuJk1sdA,4 huéspedes · 2 dormitorios · 3 camas · 1 baño,[],34€
39069472,Tranquila plantación de plátanos Picturesqe y piscina CLIMATIZADA,https://www.airbnb.es/rooms/39069472?adults=2&children=0&infants=0&check_in=2022-05-19&check_out=2022-05-26&federated_search_id=77d9fe64-c7b1-41bb-9505-ec3a20aa6d0c&source_impression_id=p3_1646478422_RaDtjay3fBez7FOd,5 huéspedes · 2 dormitorios · 5 camas · 2 baños,[],92€
44430351,Recorre y acampa WW Polo y equipo de Acampada,https://www.airbnb.es/rooms/44430351?adults=2&children=0&infants=0&check_in=2022-05-20&check_out=2022-05-27&federated_search_id=9a698ca2-9610-47c1-ab7f-5d801d4375c8&source_impression_id=p3_1646477845_3%2Frr2eEdnLMCsR1V,2 huéspedes · 1 baño,[],26€
41491821,"La casa Magec (Wifi ,Jardín y Descuento Semanal )",https://www.airbnb.es/rooms/41491821?adults=2&children=0&infants=0&check_in=2022-05-05&check_out=2022-05-12&federated_search_id=9a698ca2-9610-47c1-ab7f-5d801d4375c8&source_impression_id=p3_1646477858_hm7WJIUkCWyXQC8G,3 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.06638,-16.62849']",46€ 
51751347,Amplio apartamento con amplia terraza y piscina en el sur de Tenerife,https://www.airbnb.es/rooms/51751347?adults=2&children=0&infants=0&check_in=2022-05-31&check_out=2022-06-07&federated_search_id=9a698ca2-9610-47c1-ab7f-5d801d4375c8&source_impression_id=p3_1646477872_hzOio1yAaKDGBccj,4 huéspedes · 1 dormitorio · 2 camas · 1 baño,[],48€
22057503,"Preciosa casa nueva, con terraza/solárium en Arona",https://www.airbnb.es/rooms/22057503?adults=2&children=0&infants=0&check_in=2022-05-19&check_out=2022-05-26&federated_search_id=9a698ca2-9610-47c1-ab7f-5d801d4375c8&source_impression_id=p3_1646477938_nUNqp%2BXSXlPrknQe,"4 huéspedes · 1 dormitorio · 2 camas · 1,5 baños",[],47€
3420974?,"Charming room ""Pablo & Africa House"".",https://www.airbnb.es/rooms/3420974?adults=2&children=0&infants=0&check_in=2022-05-08&check_out=2022-05-15&federated_search_id=b30926f4-1a5a-4439-a5eb-ed371a27d059&source_impression_id=p3_1646478140_zPaVbRdCUdPaB2Gc,2 huéspedes · 1 dormitorio · 1 cama · 1 baño privado,[],34€
27457210,Apartamentos en residencial cerca de las América,https://www.airbnb.es/rooms/27457210?adults=2&children=0&infants=0&check_in=2022-05-02&check_out=2022-05-09&federated_search_id=b30926f4-1a5a-4439-a5eb-ed371a27d059&source_impression_id=p3_1646478195_L8BBlFn4g2lT4NXV,4 huéspedes · 2 dormitorios · 4 camas · 2 baños,[],50€
56217516,"Nueva Villa con piscina, terrazas y vistas al mar",https://www.airbnb.es/rooms/562175165787593600?adults=2&children=0&infants=0&check_in=2022-05-06&check_out=2022-05-13&federated_search_id=9a698ca2-9610-47c1-ab7f-5d801d4375c8&source_impression_id=p3_1646477980_ZKoflczWtevtEst7,6 huéspedes · 3 dormitorios · 3 camas · 2 baños,[],110€
45361778,"Habitación, acceso a terraza de 80m2 con plantas.",https://www.airbnb.es/rooms/45361778?adults=2&children=0&infants=0&check_in=2022-05-18&check_out=2022-05-25&federated_search_id=b30926f4-1a5a-4439-a5eb-ed371a27d059&source_impression_id=p3_1646478168_DxHIPr9kx7H8IGlr,"2 huéspedes · 1 dormitorio · 1 cama · 1,5 baños compartidos","['28.05516,-16.62279']",29€
31919273,Habitación doble con baño privado y terraza solar,https://www.airbnb.es/rooms/31919273?adults=2&children=0&infants=0&check_in=2022-05-19&check_out=2022-05-26&federated_search_id=d1a9299d-0e23-42c4-8315-8b1be7ad00f6&source_impression_id=p3_1646478757_ekTYA7X71hXesNrQ,2 huéspedes · 1 dormitorio · 1 cama · 1 baño privado,"['28.0582,-16.6162']",39€ 
53879761,Jaye’s Home,https://www.airbnb.es/rooms/53879761?adults=2&children=0&infants=0&check_in=2022-05-30&check_out=2022-06-06&federated_search_id=9a698ca2-9610-47c1-ab7f-5d801d4375c8&source_impression_id=p3_1646478049_jGMxug%2F4sDaWgXMJ,5 huéspedes · 3 dormitorios · 3 camas · 2 baños,[],62€
45785698,"""Acogedor apartamento con muy buena ubicación""",https://www.airbnb.es/rooms/45785698?adults=2&children=0&infants=0&check_in=2022-05-22&check_out=2022-05-29&federated_search_id=63ce120f-76cb-4972-b96d-e8bff653a6f4&source_impression_id=p3_1646476827_8UaOGZzWIryHWYIU,4 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.0509,-16.6768']",37€ 
22183268,"Fantástico apartamento barato, limpio y tranquilo.",https://www.airbnb.es/rooms/22183268?adults=2&children=0&infants=0&check_in=2022-05-16&check_out=2022-05-23&federated_search_id=77d9fe64-c7b1-41bb-9505-ec3a20aa6d0c&source_impression_id=p3_1646478437_vJBPWnGKX2dYsE2g,4 huéspedes · 1 dormitorio · 1 cama · 1 baño,[],35€
48089087,Habitación con baño y pequeña cocina privada,https://www.airbnb.es/rooms/48089087?adults=2&children=0&infants=0&check_in=2022-05-18&check_out=2022-05-25&federated_search_id=77d9fe64-c7b1-41bb-9505-ec3a20aa6d0c&source_impression_id=p3_1646478562_7szjSg7i63dZNMSm,2 huéspedes · 1 dormitorio · 2 camas · 1 baño privado,[],40€ 
48020914,Tranquila plantación de plátanos Picturesqe y piscina CLIMATIZADA 4,https://www.airbnb.es/rooms/48020914?adults=2&children=0&infants=0&check_in=2022-05-29&check_out=2022-06-05&federated_search_id=77d9fe64-c7b1-41bb-9505-ec3a20aa6d0c&source_impression_id=p3_1646478382_74ymZTSyCLCAvOHk,5 huéspedes · 2 dormitorios · 5 camas · 2 baños,[],92€
49507339,ARREBOL suit jacuzzy,https://www.airbnb.es/rooms/49507339?adults=2&children=0&infants=0&check_in=2022-05-16&check_out=2022-05-23&federated_search_id=b30926f4-1a5a-4439-a5eb-ed371a27d059&source_impression_id=p3_1646478086_bto09RTmMp7dRzYy,2 huéspedes · 1 dormitorio · 1 cama · 1 baño,[],73€ 
15940001,un hogar para tus vacaciones...,https://www.airbnb.es/rooms/15940001?adults=2&children=0&infants=0&check_in=2022-05-16&check_out=2022-05-23&federated_search_id=77d9fe64-c7b1-41bb-9505-ec3a20aa6d0c&source_impression_id=p3_1646478409_%2F7gbYnMesgwadBph,4 huéspedes · 2 dormitorios · 3 camas · 1 baño,"['28.05821,-16.61522']",50€
46561922,Tranquila y pintoresca plantación de plátanos y piscina climatizada 3,https://www.airbnb.es/rooms/46561922?adults=2&children=0&infants=0&check_in=2022-05-06&check_out=2022-05-13&federated_search_id=b30926f4-1a5a-4439-a5eb-ed371a27d059&source_impression_id=p3_1646478112_2NPmvTsOVIccGYmj,5 huéspedes · 2 dormitorios · 4 camas · 2 baños,[],92€
46172879,Casa de 1 dormitorio en la piscina climatizada Banana Plantation,https://www.airbnb.es/rooms/46172879?adults=2&children=0&infants=0&check_in=2022-05-25&check_out=2022-06-01&federated_search_id=d1a9299d-0e23-42c4-8315-8b1be7ad00f6&source_impression_id=p3_1646478745_AuT8EayjxM19WeHH,3 huéspedes · 1 dormitorio · 1 baño,"['28.03875,-16.63434']",77€
54048763,"Casa rural con piscina privada,BBQ, vista a oceano",https://www.airbnb.es/rooms/54048763?adults=2&children=0&infants=0&check_in=2022-05-28&check_out=2022-06-04&federated_search_id=9a698ca2-9610-47c1-ab7f-5d801d4375c8&source_impression_id=p3_1646478022_shQiz%2BH2WEoV%2BgWv,2 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.07093,-16.62724']",106€
29812885,Caravana (con aire acondicionado y WiFi) para tus vacaciones en Tenerife,https://www.airbnb.es/rooms/29812885?adults=2&children=0&infants=0&check_in=2022-05-07&check_out=2022-05-14&federated_search_id=26aaa501-c741-4953-a519-dfdd8e959d3c&source_impression_id=p3_1646476941_dvnpW71qgGiqtrIP,4 huéspedes · 2 dormitorios · 2 camas · 1 baño,"['28.05185,-16.62064']",60€
54320141,Acogedora habitación cerca del aeropuerto,https://www.airbnb.es/rooms/543201411124941370?adults=2&children=0&infants=0&check_in=2022-05-08&check_out=2022-05-15&federated_search_id=2c98a236-c455-4b1a-9295-c8371fd8b967&source_impression_id=p3_1646478959_I2L57sN0%2BNANbahf,3 huéspedes · 1 dormitorio · 2 camas · 1 baño privado,"['28.04772,-16.61751']",33€ 
2328679?,Nice Double/triple room Tfe South,https://www.airbnb.es/rooms/2328679?adults=2&children=0&infants=0&check_in=2022-05-30&check_out=2022-06-06&federated_search_id=77d9fe64-c7b1-41bb-9505-ec3a20aa6d0c&source_impression_id=p3_1646478535_P60lkRbuMAQEtgTi,"3 huéspedes · 1 dormitorio · 2 camas · 1,5 baños",[],50€
15432642,Casa unifamiliar con terraza grande,https://www.airbnb.es/rooms/15432642?adults=2&children=0&infants=0&check_in=2022-05-02&check_out=2022-05-09&federated_search_id=26aaa501-c741-4953-a519-dfdd8e959d3c&source_impression_id=p3_1646476977_6piaz0IYUzs9HJq%2F,5 huéspedes · 2 dormitorios · 3 camas · 1 baño,"['28.03377,-16.65109']",46€
19013246,💚Apartment Paradise Relax South Tenerife Pool Wif,https://www.airbnb.es/rooms/19013246?adults=2&children=0&infants=0&check_in=2022-05-19&check_out=2022-05-26&federated_search_id=b30926f4-1a5a-4439-a5eb-ed371a27d059&source_impression_id=p3_1646478154_b9UqjMUUng%2FOGyns,4 huéspedes · 1 dormitorio · 1 cama · 1 baño,[],38€
55709084,Hermosa villa de 2 dormitorios con piscina y jardín,https://www.airbnb.es/rooms/557090842533507274?adults=2&children=0&infants=0&check_in=2022-05-11&check_out=2022-05-18&federated_search_id=b30926f4-1a5a-4439-a5eb-ed371a27d059&source_impression_id=p3_1646478222_%2FHoXqe2wIIEstdNZ,"4 huéspedes · 2 dormitorios · 2 camas · 1,5 baños",[],80€
51188542,"Jardín tropical,piscina, ideal para familias, capacidad para 4 personas",https://www.airbnb.es/rooms/51188542?adults=2&children=0&infants=0&check_in=2022-05-08&check_out=2022-05-15&federated_search_id=b30926f4-1a5a-4439-a5eb-ed371a27d059&source_impression_id=p3_1646478071_fUQ74P7gKAZrtFM8,4 huéspedes · 1 dormitorio · 2 camas · 1 baño,[],46€
22024125,Alquiler de autocaravanas en Tenerife,https://www.airbnb.es/rooms/22024125?adults=2&children=0&infants=0&check_in=2022-05-23&check_out=2022-05-30&federated_search_id=77d9fe64-c7b1-41bb-9505-ec3a20aa6d0c&source_impression_id=p3_1646478589_nY9ZhrYUk2Zs3cMa,3 huéspedes · 1 dormitorio · 1 cama · 0 baños,[],62€
3175121?,"...Simplemente villa ""Evelyn"" !",https://www.airbnb.es/rooms/3175121?adults=2&children=0&infants=0&check_in=2022-05-15&check_out=2022-05-22&federated_search_id=b30926f4-1a5a-4439-a5eb-ed371a27d059&source_impression_id=p3_1646478263_FeX3tEbYGlVVCy4%2F,"9 huéspedes · 4 dormitorios · 6 camas · 3,5 baños",[],240€
43545087,"Relax Villa privada con piscina climatizada, 3 dormitorios",https://www.airbnb.es/rooms/43545087?adults=2&children=0&infants=0&check_in=2022-05-25&check_out=2022-06-01&federated_search_id=77d9fe64-c7b1-41bb-9505-ec3a20aa6d0c&source_impression_id=p3_1646478603_yg4RCyJQRjOwlcE7,6 huéspedes · 3 dormitorios · 3 camas · 3 baños,[],165€
51899918,Recorre y Acampa C3 motion,https://www.airbnb.es/rooms/51899918?adults=2&children=0&infants=0&check_in=2022-05-29&check_out=2022-06-05&federated_search_id=d1a9299d-0e23-42c4-8315-8b1be7ad00f6&source_impression_id=p3_1646478673_ohI%2B75aS%2FYaMI2D%2F,5 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.0574,-16.6145']",33€
28688847,Laura's house,https://www.airbnb.es/rooms/28688847?adults=2&children=0&infants=0&check_in=2022-05-04&check_out=2022-05-11&federated_search_id=77d9fe64-c7b1-41bb-9505-ec3a20aa6d0c&source_impression_id=p3_1646478521_5Y4kkb8%2BaOJPUMuf,3 huéspedes · 1 dormitorio · 2 camas · 1 baño,[],36€
