,0,1,2,3,4
52917728,Mango Beach by TOR,https://www.airbnb.es/rooms/52917728?adults=2&children=0&infants=0&check_in=2022-05-21&check_out=2022-05-28&federated_search_id=bd3a8e38-00d5-44e4-aa13-6039c155f9ea&source_impression_id=p3_1646384426_1TSe4glc4XqrUTRj,4 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.0962,-16.7445']",130€ 
51616876,En primera línea de mar con espectaculares vistas,https://www.airbnb.es/rooms/51616876?adults=2&children=0&infants=0&check_in=2022-05-07&check_out=2022-05-14&federated_search_id=bd3a8e38-00d5-44e4-aa13-6039c155f9ea&source_impression_id=p3_1646384438_68a3XCxpu9Jb9ZvK,3 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.09303,-16.74748']",62€
51058447,Yucca Park Tenerife Costa Adeje,https://www.airbnb.es/rooms/51058447?adults=2&children=0&infants=0&check_in=2022-05-30&check_out=2022-06-06&federated_search_id=bd3a8e38-00d5-44e4-aa13-6039c155f9ea&source_impression_id=p3_1646384449_%2B5DImxAGx6a3aQkD,"4 huéspedes · 1 dormitorio · 1 cama · 1,5 baños",[],43€
52524097,Studio OCEAN VIEW in Playa del Duque - Beachfront,https://www.airbnb.es/rooms/52524097?adults=2&children=0&infants=0&check_in=2022-05-31&check_out=2022-06-07&federated_search_id=bd3a8e38-00d5-44e4-aa13-6039c155f9ea&source_impression_id=p3_1646384461_BjwQcMlL1I73NK%2Fy,3 huéspedes · Estudio · 3 camas · 1 baño,"['28.09473,-16.74624']",60€ 
25988165,Maravillosa Playa Del Duque,https://www.airbnb.es/rooms/25988165?adults=2&children=0&infants=0&check_in=2022-05-21&check_out=2022-05-28&federated_search_id=bd3a8e38-00d5-44e4-aa13-6039c155f9ea&source_impression_id=p3_1646384473_Mck1TynZ%2FwIE4sIr,4 huéspedes · 1 dormitorio · 1 cama · 1 baño,[],90€
35696960,Relaxing seaview apartment 1 min to El Duque beach,https://www.airbnb.es/rooms/35696960?adults=2&children=0&infants=0&check_in=2022-05-04&check_out=2022-05-11&federated_search_id=bd3a8e38-00d5-44e4-aa13-6039c155f9ea&source_impression_id=p3_1646384485_oVxMrbWf7EZkNBHM,3 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.09622,-16.74405']",95€
1780442?,Apartamento Playa del Duque,https://www.airbnb.es/rooms/1780442?adults=2&children=0&infants=0&check_in=2022-05-07&check_out=2022-05-14&federated_search_id=bd3a8e38-00d5-44e4-aa13-6039c155f9ea&source_impression_id=p3_1646384497_ALiSO%2Boi7PHnIJ6c,4 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.09378,-16.74545']",90€
51395693,Apartamento Fañabe Beach,https://www.airbnb.es/rooms/51395693?adults=2&children=0&infants=0&check_in=2022-05-31&check_out=2022-06-07&federated_search_id=bd3a8e38-00d5-44e4-aa13-6039c155f9ea&source_impression_id=p3_1646384509_x%2FAb1h5nXmPhusKd,2 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.08833,-16.73528']",51€ 
24531031,"Cozy apartment in ""El Duque""",https://www.airbnb.es/rooms/24531031?adults=2&children=0&infants=0&check_in=2022-05-10&check_out=2022-05-17&federated_search_id=bd3a8e38-00d5-44e4-aa13-6039c155f9ea&source_impression_id=p3_1646384521_RXbk6rxAPlnjGhjx,4 huéspedes · 1 dormitorio · 2 camas · 1 baño,[],65€
27864762,Benimar,https://www.airbnb.es/rooms/27864762?adults=2&children=0&infants=0&check_in=2022-05-11&check_out=2022-05-18&federated_search_id=bd3a8e38-00d5-44e4-aa13-6039c155f9ea&source_impression_id=p3_1646384532_35raif19yD1an6F1,4 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.0937,-16.7322']",53€
