,Hex Id,Score,Average price per bedroom,Nº of Airbnbs listed
424,883441309dfffff,6227.75,63.33,10
425,8834412755fffff,4964.25,40.0,1
426,8834412755fffff,4964.25,40.0,1
427,8834412755fffff,4964.25,40.0,1
428,8834412755fffff,4964.25,40.0,1
429,88344cd305fffff,4892.0,65.5,2
430,8834413547fffff,5231.25,26.83,3
431,8834413547fffff,5231.25,26.83,3
432,88344cd20bfffff,4869.5,37.48,7
433,88344cd869fffff,5489.75,48.0,1
434,88344cd19dfffff,5205.0,44.57,5
435,883441acb1fffff,6162.75,37.67,6
436,883441a497fffff,5047.25,21.79,4
437,88344cd84bfffff,5284.25,44.69,18
438,88344cd2ebfffff,4874.25,26.5,3
439,883441309bfffff,5464.0,27.0,3
440,883441309bfffff,5464.0,27.0,3
441,883441309bfffff,5464.0,27.0,3
442,883441309bfffff,5464.0,27.0,3
443,883441a495fffff,5072.0,64.41,15
444,883441a495fffff,5072.0,64.41,15
445,88344ccf69fffff,4636.75,47.67,12
446,88344ccf69fffff,4636.75,47.67,12
447,88344cda43fffff,5171.0,95.0,2
448,88344cc1adfffff,4647.25,73.5,2
449,88344cc1adfffff,4647.25,73.5,2
450,8834413667fffff,6454.75,69.5,4
451,88344cd941fffff,5648.5,133.77,11
452,88344cd2a7fffff,5045.75,54.18,11
453,88344cd289fffff,5036.25,73.17,2
454,8834413725fffff,5564.25,63.31,8
455,88344cd247fffff,5006.0,77.25,8
456,88344cc1e7fffff,4676.0,53.5,2
457,88344cc1e7fffff,4676.0,53.5,2
458,88344cc1e7fffff,4676.0,53.5,2
459,88344130c3fffff,7443.0,29.5,1
460,88344130ddfffff,7307.0,40.0,1
461,88344130e3fffff,7711.5,32.88,4
462,88344cd207fffff,4899.25,20.0,1
463,88344cd207fffff,4899.25,20.0,1
464,8834413089fffff,7401.5,46.31,9
465,88344cdb3bfffff,5542.25,28.0,1
466,88344cc8ddfffff,4708.25,43.5,2
467,88344cc8ddfffff,4708.25,43.5,2
468,88344130a9fffff,7885.75,45.0,1
469,88344130a9fffff,7885.75,45.0,1
470,88344cd323fffff,4987.0,40.0,1
471,88344cca91fffff,4736.75,36.33,3
472,88346a6d31fffff,4856.0,60.24,35
473,88344cd183fffff,5334.75,85.5,5
474,883441375bfffff,6426.5,35.46,8
475,88344cd24bfffff,5046.25,22.25,1
476,88344cd2c5fffff,5006.0,34.83,3
477,88344cd2c5fffff,5006.0,34.83,3
478,88344cda2bfffff,5356.5,60.96,26
479,88344cd0c9fffff,5148.5,76.28,3
480,88344126dbfffff,4859.75,53.61,14
481,8834413721fffff,5664.25,46.35,9
482,8834413721fffff,5664.25,46.35,9
483,883441372dfffff,5915.0,41.31,8
484,88344cd051fffff,5074.25,40.0,1
485,88344cda03fffff,5353.25,36.25,7
486,88344cc8abfffff,4796.5,64.15,13
487,88344cc8abfffff,4796.5,64.15,13
488,88344cd959fffff,5821.25,51.06,3
489,88344cd959fffff,5821.25,51.06,3
490,88344cd959fffff,5821.25,51.06,3
491,88344cd959fffff,5821.25,51.06,3
492,88344cd2c1fffff,5060.5,20.0,1
493,88344cd221fffff,5142.75,25.0,1
494,8834413659fffff,6346.0,25.56,3
495,883441acbbfffff,6362.75,68.1,8
496,883441acbbfffff,6362.75,68.1,8
497,883441acbbfffff,6362.75,68.1,8
498,883441acbbfffff,6362.75,68.1,8
499,883441acbbfffff,6362.75,68.1,8
500,883441acbbfffff,6362.75,68.1,8
501,883441360dfffff,6554.75,31.5,2
502,88344cc359fffff,5331.0,22.21,2
503,88344cdb39fffff,5617.75,65.51,29
504,8834413561fffff,5244.0,52.0,3
505,88344cd18bfffff,5425.0,36.67,2
506,88344cc8a5fffff,4907.5,52.25,2
507,88344cc8a5fffff,4907.5,52.25,2
508,88344cc22dfffff,5379.5,31.33,1
509,88344cda0dfffff,5405.75,75.0,1
510,88344cda0dfffff,5405.75,75.0,1
511,8834413743fffff,7042.25,130.0,1
512,88344cd95dfffff,6003.5,34.81,12
513,88344cd95dfffff,6003.5,34.81,12
514,88344cdb11fffff,5386.5,41.43,22
515,88344cdb11fffff,5386.5,41.43,22
516,88344131d7fffff,8007.0,57.0,1
517,88344131d7fffff,8007.0,57.0,1
518,88344131d7fffff,8007.0,57.0,1
519,88344131d7fffff,8007.0,57.0,1
520,88344131d7fffff,8007.0,57.0,1
521,88344cd219fffff,5133.5,26.38,4
522,8834413753fffff,6463.0,40.01,42
523,8834413753fffff,6463.0,40.01,42
524,88346a6d39fffff,4931.75,63.88,78
525,8834413625fffff,5904.5,35.72,13
526,8834413625fffff,5904.5,35.72,13
527,8834413669fffff,6742.25,61.62,13
528,88344cc1edfffff,4894.75,30.0,1
529,88344cda31fffff,5546.0,67.22,6
530,8834413729fffff,5979.25,36.65,10
531,8834413729fffff,5979.25,36.65,10
532,88344cd33dfffff,5097.75,12.0,1
533,88344cd36bfffff,5268.25,28.0,1
534,88344cd21bfffff,5163.25,36.0,2
535,88346a6d3dfffff,4956.0,38.84,42
536,88344cd243fffff,5213.25,73.43,14
537,88344cdb35fffff,5986.75,56.22,20
538,88344cd1b7fffff,5453.0,47.08,4
539,88344cd1b7fffff,5453.0,47.08,4
540,88344cdb15fffff,5627.75,61.18,11
541,88344cda47fffff,5499.25,101.67,1
542,883441358dfffff,5332.25,60.0,1
543,883441358dfffff,5332.25,60.0,1
544,88344cc133fffff,4958.0,19.5,1
545,88346a6d07fffff,4925.75,60.7,35
546,88344cd255fffff,5246.25,74.5,2
547,88344cd149fffff,5224.75,74.0,1
548,88344cd041fffff,5218.5,40.28,3
549,883441362dfffff,6449.25,52.73,13
550,88344131d9fffff,8186.25,120.0,1
551,88344cdb3dfffff,5983.25,52.21,11
552,8834413505fffff,5361.75,120.0,1
553,883441225dfffff,6644.0,45.0,2
554,8834413629fffff,6400.5,53.67,4
555,8834413629fffff,6400.5,53.67,4
556,88344cd1bbfffff,5550.5,156.0,1
557,88344cd1bbfffff,5550.5,156.0,1
558,88344cc9e5fffff,5091.75,36.67,1
559,88344cc9e5fffff,5091.75,36.67,1
560,88344cd86bfffff,5764.0,49.19,7
561,8834413621fffff,6114.25,29.28,4
562,8834413621fffff,6114.25,29.28,4
563,88344cc20dfffff,5600.0,41.07,5
564,88344cc113fffff,5034.75,24.9,7
565,8834412243fffff,7297.0,32.0,2
566,8834412243fffff,7297.0,32.0,2
567,88344cd04dfffff,5269.0,42.0,1
568,8834413609fffff,6792.75,33.75,4
569,8834413651fffff,6598.5,32.2,5
570,88344cda39fffff,5629.0,35.88,4
571,8834413605fffff,6777.5,46.5,2
572,88344cd367fffff,5452.5,40.0,1
573,88344cd361fffff,5431.0,53.97,11
574,883441375dfffff,7003.25,42.94,28
575,88346a6d27fffff,5268.75,51.38,7
576,88344130a1fffff,8224.25,75.0,1
577,88344ccf19fffff,5099.25,35.42,16
578,88346a69b1fffff,5518.75,37.5,2
579,883441acb3fffff,6645.0,56.4,5
580,88344cc31dfffff,5437.75,27.5,2
581,8834413655fffff,6765.25,49.28,3
582,8834413655fffff,6765.25,49.28,3
583,883441364dfffff,6672.0,81.33,1
584,88344cda37fffff,5786.75,44.53,5
585,88344cda37fffff,5786.75,44.53,5
586,883441365bfffff,6684.25,20.0,1
587,883441365bfffff,6684.25,20.0,1
588,883441365bfffff,6684.25,20.0,1
589,88346a6d03fffff,4932.75,55.91,48
590,88344cd045fffff,5261.75,95.0,1
591,88344ccad9fffff,5151.75,44.5,1
592,88346a68b5fffff,5452.5,28.47,5
593,883441a4d7fffff,5618.75,98.48,7
594,883441a4d7fffff,5618.75,98.48,7
595,883441356dfffff,5889.25,65.0,2
596,883441356dfffff,5889.25,65.0,2
597,883441356dfffff,5889.25,65.0,2
598,88344cd011fffff,5490.75,57.68,5
599,88344cd1b9fffff,5809.25,33.33,1
600,8834413759fffff,6980.5,67.38,11
601,883441362bfffff,6473.75,40.33,3
602,8834413643fffff,6986.0,27.5,2
603,8834413643fffff,6986.0,27.5,2
604,88344cd85dfffff,5907.0,111.62,4
605,88344cd965fffff,6795.0,22.75,2
606,883441a49dfffff,5691.25,59.26,11
607,8834413627fffff,6309.25,63.22,6
608,88344cdb19fffff,5560.25,46.52,192
609,88344130a7fffff,8131.5,40.5,3
610,88344cc34bfffff,5717.25,77.21,2
