,Hex Id,Score,Average price per bedroom,Nº of Airbnbs listed
752,88344cdaa5fffff,7269.25,66.25,4
753,88344cc105fffff,6576.0,25.5,1
754,88346a69ebfffff,7191.5,52.5,2
755,88344cd91bfffff,7675.75,54.0,3
756,88346a6c45fffff,5272.0,105.75,4
757,88346a6837fffff,7117.0,38.67,3
758,88346a69cbfffff,7149.5,45.86,43
759,88346a69ddfffff,7197.5,69.0,2
760,88344cd911fffff,7817.0,50.0,1
761,88346a6f17fffff,5523.0,32.5,1
762,88346a6835fffff,7363.75,37.33,1
763,88344cc81bfffff,7010.5,71.0,1
764,88346a6c69fffff,5643.0,49.58,47
765,88346a6f13fffff,5638.75,45.11,9
766,88346a69c3fffff,7539.5,37.9,22
767,88344cd945fffff,8721.75,106.86,7
768,88344cd11dfffff,6850.75,40.36,2
769,88344cd819fffff,8173.75,58.75,2
770,88346a683dfffff,7931.25,45.78,28
771,88346a6e27fffff,6157.5,69.62,4
772,88344cd913fffff,8625.5,76.0,3
773,88346a6815fffff,8265.0,42.5,2
774,88346a6c49fffff,6509.0,70.15,10
775,88346a6e3dfffff,6838.25,51.48,7
776,88346a6e3dfffff,6838.25,51.48,7
777,88346a683bfffff,8727.0,53.33,3
778,88346a6e2bfffff,7158.25,50.17,3
779,88346a68dbfffff,7672.0,41.0,1
780,88346a68ebfffff,8645.75,47.0,1
781,88346a6e07fffff,7404.75,34.5,2
782,88346a6e07fffff,7404.75,34.5,2
783,88346a6839fffff,9306.25,46.23,11
784,88344ccb0bfffff,8549.5,,1
785,88344cd9b9fffff,8986.5,63.67,2
786,88346a6f43fffff,7205.25,,1
787,88346a6f41fffff,7274.0,29.0,1
788,88346a6ab3fffff,9190.0,26.0,1
789,88346a6f4dfffff,7770.75,38.83,13
790,88346a6f49fffff,7793.0,34.72,3
791,88346a61a3fffff,7920.0,35.02,10
792,88346a6f45fffff,8531.75,33.02,9
793,88346a6a93fffff,8560.0,32.5,1
794,88346a61bdfffff,8148.5,39.0,1
795,88346a61bdfffff,8148.5,39.0,1
796,88346a6193fffff,10553.5,50.5,2
